Nr,exercise,level_verben,question,answer,case,german,english,verb
248,8,,Er stimmt _____ das Gesetz.,gegen,,Er stimmt gegen das Gesetz.,He votes against the law.,stimmen
249,8,,Ich stimme _____ die Idee.,gegen,,Ich stimme gegen die Idee.,I vote against the idea.,stimmen
250,8,,Vergleiche dein Auto nicht _____ meinem.,mit,,Vergleiche dein Auto nicht mit meinem.,Don't compare your car with mine.,vergleichen
251,8,,Er kann sich _____ Ihnen nicht vergleichen.,mit,,Er kann sich mit Ihnen nicht vergleichen.,He cannot compare with you.,vergleichen
252,8,,Ich verlasse mich _____ dich.,auf,,Ich verlasse mich auf dich.,I rely on you.,verlassen
253,8,,"Kann ich mich _____ verlassen, dass du pünktlich bist?",darauf,,"Kann ich mich darauf verlassen, dass du pünktlich bist?",Can I rely on you being on time?,verlassen
254,8,,Ich vertraue _____ meine Fähigkeiten.,auf,,Ich vertraue auf meine Fähigkeiten.,I trust in my abilities.,vertrauen
255,8,,Wir müssen _____ unsere Erfahrung vertrauen.,auf,,Wir müssen auf unsere Erfahrung vertrauen.,We must trust in our experience.,vertrauen
256,8,,Die Musik wirkt beruhigend _____ mich.,auf,,Die Musik wirkt beruhigend auf mich.,The music has a calming effect on me.,wirken
257,8,,Sein Verhalten wirkt arrogant _____ andere.,auf,,Sein Verhalten wirkt arrogant auf andere.,His behavior seems arrogant to others.,wirken
258,8,,Viele Menschen nahmen _____ der Demonstration teil.,an,,Viele Menschen nahmen an der Demonstration teil.,Many people participated in the demonstration.,teilnehmen
259,8,,Er hat _____ einem Marathon in Berlin teilgenommen.,an,,Er hat an einem Marathon in Berlin teilgenommen.,He participated in a marathon in Berlin.,teilnehmen
260,8,,Er leidet _____ einer chronischen Krankheit.,an,,Er leidet an einer chronischen Krankheit.,He suffers from a chronic illness.,leiden
261,8,,Viele Menschen leiden _____ den Folgen des Klimawandels.,an,,Viele Menschen leiden an den Folgen des Klimawandels.,Many people suffer from the effects of climate change.,leiden
262,8,,Sie leidet _____ der Einsamkeit nach dem Umzug.,unter,,Sie leidet unter der Einsamkeit nach dem Umzug.,She suffers from loneliness after the move.,leiden
263,8,,Er leidet _____ dem Druck bei der Arbeit.,unter,,Er leidet unter dem Druck bei der Arbeit.,He suffers from pressure at work.,leiden
264,8,,Er kümmert sich _____ seine kranke Mutter.,um,,Er kümmert sich um seine kranke Mutter.,He takes care of his sick mother.,kümmern
265,8,,Ich kümmere mich _____ die Organisation der Feier.,um,,Ich kümmere mich um die Organisation der Feier.,I take care of organizing the party.,kümmern
266,8,,Ich habe ihn _____ den Vorteilen des Projekts überzeugt.,von,,Ich habe ihn von den Vorteilen des Projekts überzeugt.,I convinced him of the benefits of the project.,überzeugen
267,8,,Sie war _____ der Qualität des Produkts überzeugt.,von,,Sie war von der Qualität des Produkts überzeugt.,She was convinced of the quality of the product.,überzeugen
268,8,,"Es kommt _____ das Wetter an, ob wir morgen wandern gehen.",auf,,"Es kommt auf das Wetter an, ob wir morgen wandern gehen.",It depends on the weather whether we go hiking tomorrow.,ankommen
269,8,,Beim Bewerbungsgespräch kommt es _____ die richtige Kleidung an.,auf,,Beim Bewerbungsgespräch kommt es auf die richtige Kleidung an.,"In a job interview, the right clothing matters.",ankommen
270,8,,Er lebt _____ seinem Ersparten.,von,,Er lebt von seinem Ersparten.,He lives off his savings.,leben
271,8,,Viele Künstler leben _____ ihren Werken.,von,,Viele Künstler leben von ihren Werken.,Many artists live off their work.,leben
272,8,,Ich erkenne ihn _____ seiner Stimme.,an,,Ich erkenne ihn an seiner Stimme.,I recognize him by his voice.,erkennen
273,8,,Man erkennt das Original _____ der Unterschrift.,an,,Man erkennt das Original an der Unterschrift.,You can recognize the original by the signature.,erkennen
274,8,,Der Chef fordert viel _____ den Mitarbeitern.,von,,Der Chef fordert viel von den Mitarbeitern.,The boss demands a lot from the employees.,
275,8,,Ich fordere eine Antwort _____ dir.,von,,Ich fordere eine Antwort von dir.,I demand an answer from you.,
276,8,,Die Kinder streiten _____ das Spielzeug.,um,,Die Kinder streiten um das Spielzeug.,The children argue about the toy.,
277,8,,Wir streiten oft _____ Kleinigkeiten.,um,,Wir streiten oft um Kleinigkeiten.,We often argue about little things.,
278,8,,Sie streiten _____ das Geld.,über,,Sie streiten über das Geld.,They argue about the money.,
279,8,,Wir streiten _____ den Film.,über,,Wir streiten über den Film.,We are arguing about the movie.,
280,8,,Ich streite _____ meinem Bruder.,mit,,Ich streite mit meinem Bruder.,I argue with my brother.,
281,8,,Sie streitet oft _____ ihrer Freundin.,mit,,Sie streitet oft mit ihrer Freundin.,She often argues with her friend.,
282,8,,Wir haben das Spiel _____ die andere Mannschaft verloren.,an,,Wir haben das Spiel an die andere Mannschaft verloren.,We lost the game to the other team.,
283,8,,Er hat _____ Bedeutung verloren.,an,,Er hat an Bedeutung verloren.,He lost his importance.,
284,8,,Ich bin gerade _____ Kochen.,beim,,Ich bin gerade beim Kochen.,I’m currently cooking.,
285,8,,"Sie war _____ Lernen, als ich anrief.",beim,,"Sie war beim Lernen, als ich anrief.",She was studying when I called.,
286,9,,"— Ist Ihre Firma ein guter Arbeitgeber? <br><bt>— Ja, und ich habe schon lange _____ gearbeitet.",dabei,,"— Ist Ihre Firma ein guter Arbeitgeber? <br><bt>— Ja, und ich habe schon lange dabei gearbeitet.","— Is your company a good place to work? <br><bt>— Yes, and I've worked there for a long time.",arbeiten
287,9,,"— Vermissen Sie Ihr Land? <br><bt>— Ja, ich denke oft _____.",daran,,"— Vermissen Sie Ihr Land? <br><bt>— Ja, ich denke oft daran.","— Do you miss your country? <br><bt>— Yes, I often think about it.",denken
288,9,,"— Und was ist mit dem Leben nach dem Tod? <br><bt>— Ja, ich glaube _____.",daran,,"— Und was ist mit dem Leben nach dem Tod? <br><bt>— Ja, ich glaube daran.","— And what about life after death? <br><bt>— Yes, I believe in it.",glauben
289,9,,Ich treffe mich heute mit meiner Freundin. Ich freue mich schon _____.,darauf,,Ich treffe mich heute mit meiner Freundin. Ich freue mich schon darauf.,I’m meeting my girlfriend today. I’m already looking forward to it.,freuen
290,9,,Ich warte auf den Bus und ärgere mich _____.,darüber,,Ich warte auf den Bus und ärgere mich darüber.,I’m waiting for the bus and I’m annoyed about it.,ärgern
291,9,,Ich freue mich auf das Wochenende. Ich habe die ganze Woche _____ gedacht.,daran,,Ich freue mich auf das Wochenende. Ich habe die ganze Woche daran gedacht.,I’m looking forward to the weekend. I’ve been thinking about it all week.,denken
292,9,,Ich freue mich über das Geschenk. Ich danke dir _____!,dafür,,Ich freue mich über das Geschenk. Ich danke dir dafür!,I’m happy about the gift. I thank you for it!,danken
293,9,,"— Gefällt euch die Serie? <br><bt>— Ja, ich muss jedes Mal _____ lachen.",darüber,,"— Gefällt euch die Serie? <br><bt>— Ja, ich muss jedes Mal darüber lachen.","— Do you like this series? <br><bt>— Yes, I have to laugh about it every time.",lachen
294,9,,Das Hemd passt gut zur Hose. Ich hätte nicht _____ gedacht.,daran,,Das Hemd passt gut zur Hose. Ich hätte nicht daran gedacht.,The shirt goes well with the pants. I wouldn’t have thought of it.,denken
295,9,,Ich rede nicht gerne von der Vergangenheit. Bitte frag mich nicht _____.,danach,,Ich rede nicht gerne von der Vergangenheit. Bitte frag mich nicht danach.,I don’t like talking about the past. Please don’t ask me about it.,fragen
296,9,,Der Mantel schützt vor Kälte. Ich habe mich extra _____ entschieden.,dafür,,Der Mantel schützt vor Kälte. Ich habe mich extra dafür entschieden.,The coat protects against the cold. I chose it for that reason.,entscheiden
297,9,,Ich sorge für das Essen. Du kannst dich _____ verlassen.,darauf,,Ich sorge für das Essen. Du kannst dich darauf verlassen.,I’ll take care of the food. You can rely on it.,verlassen
298,9,,"Ich hasse es, über Politik nachzudenken, aber heute haben wir lange _____ gesprochen.",darüber,,"Ich hasse es, über Politik nachzudenken, aber heute haben wir lange darüber gesprochen.","I hate thinking about politics, but today we talked about it for a long time.",sprechen
299,9,,"— Ist ein Haus am Meer sein größtes Lebensziel? <br><bt>— Ja, er träumt ständig _____.",davon,,"— Ist ein Haus am Meer sein größtes Lebensziel? <br><bt>— Ja, er träumt ständig davon.","— Is a house by the sea his main goal in life? <br><bt>— Yes, he dreams about it all the time.",träumen
300,9,,"— Dieses T-Shirt habe ich im Urlaub in Spanien bekommen. <br><bt>— Ja, ich erinnere mich _____.",daran,,"— Dieses T-Shirt habe ich im Urlaub in Spanien bekommen. <br><bt>— Ja, ich erinnere mich daran.","— I got this T-shirt during our vacation in Spain. <br><bt>— Yes, I remember it.",erinnern
301,9,,"— Ich bin so erleichtert, dass der Sommer begonnen hat. <br><bt>— Ich freue mich auch _____.",darüber,,"— Ich bin so erleichtert, dass der Sommer begonnen hat. <br><bt>— Ich freue mich auch darüber.",— I'm so relieved since Summer has begun. <br><bt>— I am also happy about it.,freuen
302,9,,Ich habe über den Vorschlag nachgedacht und gestern _____ gestimmt.,dafür,,Ich habe über den Vorschlag nachgedacht und gestern dafür gestimmt.,I've thought about the proposal and voted for it yesterday.,stimmen
303,9,,"— Er scheint sein neues Spielzeug zu mögen. <br><bt>— Ja, er spielt immer _____.",damit,,"— Er scheint sein neues Spielzeug zu mögen. <br><bt>— Ja, er spielt immer damit.","— He seems to like his new toy. <br><bt>— Yes, he always plays with it.",spielen
304,9,,"— Gibt es Neuigkeiten zu deinem Handy? <br><bt>— Nein, ich suche noch _____.",danach,,"— Gibt es Neuigkeiten zu deinem Handy? <br><bt>— Nein, ich suche noch danach.","— Any news about your phone? <br><bt>— No, I'm still looking for it.",suchen
305,9,,"— Spricht er stundenlang über Kino? <br><bt>— Ja, er interessiert sich sehr _____.",dafür,,"— Spricht er stundenlang über Kino? <br><bt>— Ja, er interessiert sich sehr dafür.","— Does he always talk about cinema for hours? <br><bt>— Yes, he is very into it.",interessieren
306,9,,"— Könnten Sie uns bei diesem Projekt helfen? <br><bt>— Ja, ich würde gerne _____ arbeiten.",daran,,"— Könnten Sie uns bei diesem Projekt helfen? <br><bt>— Ja, ich würde gerne daran arbeiten.","— Could you help us with this project? <br><bt>— Yes, I'd love to work on it.",arbeiten
307,10,,_____ änderst du etwas?,Woran,,Woran änderst du etwas?,What are you changing?,
308,10,,_____ fängst du an?,Womit,,Womit fängst du an?,What are you starting with?,
309,10,,_____ arbeitest du?,Woran,,Woran arbeitest du?,What are you working on?,
310,10,,_____ beginnst du?,Womit,,Womit beginnst du?,What are you beginning with?,
311,10,,_____ bittest du?,Worum,,Worum bittest du?,What are you asking for?,
312,10,,_____ bringt dich das?,Wozu,,Wozu bringt dich das?,What does that bring you to?,
313,10,,_____ denkst du?,Woran,,Woran denkst du?,What are you thinking about?,
314,10,,_____ diskutierst du?,Worüber,,Worüber diskutierst du?,What are you discussing?,
315,10,,_____ diskutierst du?,Mit wem,,Mit wem diskutierst du?,Who are you discussing with?,
316,10,,_____ lädst du mich ein?,Wozu,,Wozu lädst du mich ein?,What are you inviting me to?,
317,10,,_____ erinnerst du dich?,Woran,,Woran erinnerst du dich?,What are you remembering?,
318,10,,_____ freust du dich?,Worauf,,Worauf freust du dich?,What are you looking forward to?,
319,10,,_____ freust du dich?,Worüber,,Worüber freust du dich?,What are you happy about?,
320,10,,_____ führt das?,Wozu,,Wozu führt das?,What does this lead to?,
321,10,,_____ glaubst du?,Woran,,Woran glaubst du?,What do you believe in?,
322,10,,_____ hilfst du?,Wobei,,Wobei hilfst du?,What are you helping with?,
323,10,,_____ hoffst du?,Worauf,,Worauf hoffst du?,What are you hoping for?,
324,10,,_____ hörst du?,Worauf,,Worauf hörst du?,What are you listening to?,
325,10,,_____ interessierst du dich?,Wofür,,Wofür interessierst du dich?,What are you interested in?,
326,10,,_____ kommst du?,Woher,,Woher kommst du?,Where do you come from?,
327,10,,_____ schreibst du?,An wen,,An wen schreibst du?,Who are you writing to?,
328,10,,_____ bist du?,Wofür,,Wofür bist du?,What are you in favor of?,
329,10,,_____ spielst du?,Mit wem,,Mit wem spielst du?,Who are you playing with?,
330,10,,_____ sprichst du?,Mit wem,,Mit wem sprichst du?,Who are you speaking with?,
331,10,,_____ suchst du?,Wonach,,Wonach suchst du?,What are you looking for?,
332,10,,_____ träumst du?,Wovon,,Wovon träumst du?,What are you dreaming of?,
333,10,,_____ treffen wir uns?,Wozu,,Wozu treffen wir uns?,What are we meeting for?,
334,10,,_____ triffst du dich?,Mit wem,,Mit wem triffst du dich?,Who are you meeting with?,
335,10,,_____ verstehst du dich?,Mit wem,,Mit wem verstehst du dich?,Who do you get along with?,
336,10,,_____ wählt man ihn?,Wozu,,Wozu wählt man ihn?,What is he elected for?,
337,10,,_____ wartest du?,Worauf,,Worauf wartest du?,What are you waiting for?,
338,10,,_____ zählt das?,Wozu,,Wozu zählt das?,What does this count as?,
339,11,1 - 3 (A1),gehen _____,um,Akk.,gehen um,"to be about, to revolve around",gehen
340,11,11 - 13 (B1),achten _____,auf,Akk.,achten auf,"to watch, to pay attention to",achten
341,11,11 - 13 (B1),beschäftigen _____,mit,Dat.,beschäftigen mit,"to deal with, to concern onself with, to be occupied with",beschäftigen
342,11,11 - 13 (B1),beschreiben _____,als,Akk.,beschreiben als,to describe as,beschreiben
343,11,11 - 13 (B1),beschweren _____,über,Akk.,beschweren über,to complain about,beschweren
344,11,11 - 13 (B1),beschweren _____,bei,Dat.,beschweren bei,to complain to,beschweren
345,11,11 - 13 (B1),enden _____,mit,Dat.,enden mit,to end with,enden
346,11,11 - 13 (B1),entschuldigen _____,für,Akk.,entschuldigen für,to apologize for,entschuldigen
347,11,11 - 13 (B1),entschuldigen _____,bei,Dat.,entschuldigen bei,to apologize to,entschuldigen
348,11,11 - 13 (B1),ergeben _____,aus,Dat.,ergeben aus,to result from,ergeben
349,11,11 - 13 (B1),verlieben _____,in,Akk.,verlieben in,to fall in love with,verlieben
350,11,11 - 13 (B1),vorbereiten _____,auf,Akk.,vorbereiten auf,to prepare oneself for,vorbereiten
351,11,11 - 13 (B1),weinen _____,über,Akk.,weinen über,to cry about,weinen
352,11,11 - 13 (B1),beitragen _____,zu,Dat.,beitragen zu,to contribute to,beitragen
353,11,11 - 13 (B1),bestehen _____,aus,Dat.,bestehen aus,to consist of,bestehen
354,11,11 - 13 (B1),bestehen _____,auf,Akk.,bestehen auf,to insist on,bestehen
355,11,11 - 13 (B1),bestehen _____,in,Dat.,bestehen in,to consist in,bestehen
356,11,11 - 13 (B1),beteiligen _____,an,Dat.,beteiligen an,to take part in,beteiligen
357,11,11 - 13 (B1),duften _____,nach,Dat.,duften nach,to smell of,duften
358,11,11 - 13 (B1),einstellen _____,auf,Akk.,einstellen auf,to adjust to,einstellen
359,11,11 - 13 (B1),entstehen _____,aus,Dat.,entstehen aus,to arise from,entstehen
360,11,5 - 7 (A2),kämpfen _____,um,Akk.,kämpfen um,to fight over (something limited),kämpfen
361,11,5 - 7 (A2),kämpfen _____,für,Akk.,kämpfen für,to fight for (a cause),kämpfen
362,11,5 - 7 (A2),bewerben _____,bei,Dat.,bewerben bei,to apply at,bewerben
363,11,5 - 7 (A2),bewerben _____,um,Akk.,bewerben um,to apply for,bewerben
364,12,,Du solltest mehr _____ deine Gesundheit achten.,auf,,Du solltest mehr auf deine Gesundheit achten.,You should pay more attention to your health.,achten
365,12,,"Ich achte _____ die Umwelt, indem ich weniger Plastik benutze.",auf,,"Ich achte auf die Umwelt, indem ich weniger Plastik benutze.",I pay attention to the environment by using less plastic.,achten
366,12,,Er beschäftigt sich gerne _____ Technik.,mit,,Er beschäftigt sich gerne mit Technik.,He enjoys dealing with technology.,beschäftigen
367,12,,Wir haben uns lange _____ diesem Problem beschäftigt.,mit,,Wir haben uns lange mit diesem Problem beschäftigt.,We spent a long time dealing with this problem.,beschäftigen
368,12,,Er beschreibt die Stadt _____ sehr lebendig.,als,,Er beschreibt die Stadt als sehr lebendig.,He describes the city as very lively.,beschreiben
369,12,,Das Buch wird oft _____ Meisterwerk beschrieben.,als,,Das Buch wird oft als Meisterwerk beschrieben.,The book is often described as a masterpiece.,beschreiben
370,12,,Ich habe mich _____ den schlechten Service im Restaurant beschwert.,über,,Ich habe mich über den schlechten Service im Restaurant beschwert.,I complained about the bad service in the restaurant.,beschweren
371,12,,Viele Bürger beschweren sich _____ die hohen Steuern.,über,,Viele Bürger beschweren sich über die hohen Steuern.,Many citizens complain about high taxes.,beschweren
372,12,,Sie hat sich _____ der Lehrerin über die schwierige Prüfung beschwert.,bei,,Sie hat sich bei der Lehrerin über die schwierige Prüfung beschwert.,She complained to the teacher about the difficult exam.,beschweren
373,12,,Ich beschwere mich _____ dem Chef über meinen Kollegen.,bei,,Ich beschwere mich beim Chef über meinen Kollegen.,I am complaining to the boss about my colleague.,beschweren
374,12,,Der Film endet _____ einer Überraschung.,mit,,Der Film endet mit einer Überraschung.,The movie ends with a surprise.,enden
375,12,,Das Gespräch endete _____ einem Kompromiss.,mit,,Das Gespräch endete mit einem Kompromiss.,The conversation ended with a compromise.,enden
376,12,,Ich entschuldige mich _____ meine Verspätung.,für,,Ich entschuldige mich für meine Verspätung.,I apologize for my delay.,entschuldigen
377,12,,Sie hat sich _____ ihren Fehler entschuldigt.,für,,Sie hat sich für ihren Fehler entschuldigt.,She apologized for her mistake.,entschuldigen
378,12,,Ich habe mich _____ meiner Freundin für mein Verhalten entschuldigt.,bei,,Ich habe mich bei meiner Freundin für mein Verhalten entschuldigt.,I apologized to my girlfriend for my behavior.,entschuldigen
379,12,,Er hat sich _____ seinem Lehrer für die Unaufmerksamkeit entschuldigt.,bei,,Er hat sich bei seinem Lehrer für die Unaufmerksamkeit entschuldigt.,He apologized to his teacher for not paying attention.,entschuldigen
380,12,,Das Problem ergibt sich _____ mangelnder Kommunikation.,aus,,Das Problem ergibt sich aus mangelnder Kommunikation.,The problem results from a lack of communication.,ergeben
381,12,,Die Lösung ergibt sich _____ den gesammelten Daten.,aus,,Die Lösung ergibt sich aus den gesammelten Daten.,The solution results from the collected data.,ergeben
382,12,,Im Buch geht es _____ eine spannende Reise.,um,,Im Buch geht es um eine spannende Reise.,The book is about an exciting journey.,gehen
383,12,,Beim Streit geht es _____ Geld.,um,,Beim Streit geht es um Geld.,The argument is about money.,gehen
384,12,,Sie kämpfen _____ den ersten Platz.,um,,Sie kämpfen um den ersten Platz.,They are fighting for the first place.,kämpfen
385,12,,Viele Kandidaten kämpfen _____ den prestigeträchtigen Job.,um,,Viele Kandidaten kämpfen um den prestigeträchtigen Job.,Many candidates are fighting for the prestigious job.,kämpfen
386,12,,Sie kämpfen _____ bessere Arbeitsbedingungen.,für,,Sie kämpfen für bessere Arbeitsbedingungen.,They are fighting for better working conditions.,kämpfen
387,12,,Wir kämpfen _____ eine saubere Umwelt.,für,,Wir kämpfen für eine saubere Umwelt.,We fight for a clean environment.,kämpfen
388,12,,Sie hat sich _____ ihren Kollegen verliebt.,in,,Sie hat sich in ihren Kollegen verliebt.,She fell in love with her colleague.,verlieben
389,12,,Er verliebte sich sofort _____ die Stadt.,in,,Er verliebte sich sofort in die Stadt.,He immediately fell in love with the city.,verlieben
390,12,,Ich bereite mich _____ die Prüfung vor.,auf,,Ich bereite mich auf die Prüfung vor.,I am preparing for the exam.,vorbereiten
391,12,,Sie bereitet sich _____ das Bewerbungsgespräch vor.,auf,,Sie bereitet sich auf das Bewerbungsgespräch vor.,She is preparing for the job interview.,vorbereiten
392,12,,Er weinte _____ den Verlust seines Hundes.,über,,Er weinte über den Verlust seines Hundes.,He cried over the loss of his dog.,weinen
393,12,,Sie weinte _____ den traurigen Film.,über,,Sie weinte über den traurigen Film.,She cried about the sad movie.,weinen
394,12,,Das Team besteht _____ Experten verschiedener Fachrichtungen.,aus,,Das Team besteht aus Experten verschiedener Fachrichtungen.,The team consists of experts from various disciplines.,bestehen
395,12,,Die Prüfung besteht _____ drei Teilen.,aus,,Die Prüfung besteht aus drei Teilen.,The exam consists of three parts.,bestehen
396,12,,"Er besteht _____, die Wahrheit zu erfahren.",darauf,,"Er besteht darauf, die Wahrheit zu erfahren.",He insists on learning the truth.,bestehen
397,12,,"Sie besteht _____, dass ihre Meinung gehört wird.",darauf,,"Sie besteht darauf, dass ihre Meinung gehört wird.",She insists on having her opinion heard.,bestehen
398,12,,"Die Herausforderung besteht _____, das Problem schnell zu lösen.",darin,,"Die Herausforderung besteht darin, das Problem schnell zu lösen.",The challenge consists in solving the problem quickly.,bestehen
399,12,,"Die Aufgabe besteht _____, alle Daten korrekt zu analysieren.",darin,,"Die Aufgabe besteht darin, alle Daten korrekt zu analysieren.",The task is to analyze all data correctly.,bestehen
400,12,,Viele Studierende beteiligen sich _____ sozialen Projekten.,an,,Viele Studierende beteiligen sich an sozialen Projekten.,Many students participate in social projects.,beteiligen
401,12,,Er hat sich _____ der Organisation der Konferenz beteiligt.,an,,Er hat sich an der Organisation der Konferenz beteiligt.,He participated in organizing the conference.,beteiligen
402,12,,Er hat sich _____ einer großen Firma beworben.,bei,,Er hat sich bei einer großen Firma beworben.,He applied to a big company.,bewerben
403,12,,Ich habe mich _____ einem internationalen Unternehmen beworben.,bei,,Ich habe mich bei einem internationalen Unternehmen beworben.,I applied to an international company.,bewerben
404,12,,Sie bewirbt sich _____ eine Stelle als Ingenieurin.,um,,Sie bewirbt sich um eine Stelle als Ingenieurin.,She is applying for a position as an engineer.,bewerben
405,12,,Er bewirbt sich _____ ein Stipendium.,um,,Er bewirbt sich um ein Stipendium.,He is applying for a scholarship.,bewerben
406,12,,Die Blumen duften _____ Frühling.,nach,,Die Blumen duften nach Frühling.,The flowers smell like spring.,duften
407,12,,Der Kuchen duftet _____ frischem Obst.,nach,,Der Kuchen duftet nach frischem Obst.,The cake smells like fresh fruit.,duften
408,12,,Wir müssen uns _____ längere Wartezeiten einstellen.,auf,,Wir müssen uns auf längere Wartezeiten einstellen.,We have to prepare for longer waiting times.,einstellen
409,12,,Er hat sich schnell _____ die neue Umgebung eingestellt.,auf,,Er hat sich schnell auf die neue Umgebung eingestellt.,He quickly adapted to the new environment.,einstellen
410,12,,_____ der Idee ist ein erfolgreiches Unternehmen entstanden.,Aus,,Aus der Idee ist ein erfolgreiches Unternehmen entstanden.,A successful company emerged from the idea.,entstehen
411,12,,_____ dem Streit ist eine neue Lösung entstanden.,Aus,,Aus dem Streit ist eine neue Lösung entstanden.,A new solution emerged from the dispute.,entstehen
412,12,,Jeder kann etwas _____ Umweltschutz beitragen.,zum,,Jeder kann etwas zum Umweltschutz beitragen.,Everyone can contribute to environmental protection.,beitragen
413,12,,"Die Studie trägt _____ bei, unser Verständnis der Materie zu verbessern.",dazu,,"Die Studie trägt dazu bei, unser Verständnis der Materie zu verbessern.",The study contributes to improving our understanding of the subject.,beitragen
414,13,11 - 13 (B1),erholen _____,von,Dat.,erholen von,to recover from,erholen
415,13,11 - 13 (B1),fliehen _____,vor,Dat.,fliehen vor,to flee from,fliehen
416,13,11 - 13 (B1),fürchten _____,vor,Dat.,fürchten vor,to be afraid of,fürchten
417,13,11 - 13 (B1),garantieren _____,für,Akk.,garantieren für,to guarantee for,garantieren
418,13,11 - 13 (B1),hinweisen _____,auf,Akk.,hinweisen auf,to point out,hinweisen
419,13,11 - 13 (B1),konzentrieren _____,auf,Akk.,konzentrieren auf,to concentrate on,konzentrieren
420,13,11 - 13 (B1),nachdenken _____,über,Akk.,nachdenken über,to think about,nachdenken
421,13,11 - 13 (B1),reagieren _____,auf,Akk.,reagieren auf,to react to,reagieren
422,13,11 - 13 (B1),riechen _____,nach,Dat.,riechen nach,to smell like,riechen
423,13,11 - 13 (B1),senden _____,an,Akk.,senden an,to send to,senden
424,13,11 - 13 (B1),stammen _____,aus,Dat.,stammen aus,to come from,stammen
425,13,11 - 13 (B1),verzichten _____,auf,Akk.,verzichten auf,to renounce,verzichten
426,13,11 - 13 (B1),warnen _____,vor,Dat.,warnen vor,to warn of,warnen
427,13,11 - 13 (B1),werben _____,für,Akk.,werben für,to advertise for,werben
428,13,11 - 13 (B1),zielen _____,auf,Akk.,zielen auf,to aim at,zielen
429,13,11 - 13 (B1),zweifeln _____,an,Dat.,zweifeln an,to doubt,zweifeln
430,13,11 - 13 (B1),abhängen _____,von,Dat.,abhängen von,to depend on,abhängen
431,13,11 - 13 (B1),ernähren _____,von,Dat.,ernähren von,to nourish from,ernähren
432,13,11 - 13 (B1),handeln _____,um,Akk.,handeln um,to be about,handeln
433,13,11 - 13 (B1),handeln _____,von,Dat.,handeln von,to revolve around / be about,handeln
434,13,11 - 13 (B1),richten _____,nach,Dat.,richten nach,to follow,richten
435,13,11 - 13 (B1),richten _____,an,Akk.,richten an,to address to,richten
436,13,11 - 13 (B1),verfügen _____,über,Akk.,verfügen über,to have at one's disposal,verfügen
437,13,11 - 13 (B1),handeln _____,mit,Dat.,handeln mit,to trade with / in,handeln
438,13,11 - 13 (B1),erfahren _____,von,Dat.,erfahren von,"to learn about, of",erfahren
439,14,,Die Menschen fliehen _____ der Gewalt in ihrer Heimat.,vor,,Die Menschen fliehen vor der Gewalt in ihrer Heimat.,The people are fleeing from the violence in their homeland.,fliehen
440,14,,Er ist _____ der Gefahr in Sicherheit geflohen.,vor,,Er ist vor der Gefahr in Sicherheit geflohen.,He fled to safety from the danger.,fliehen
441,14,,Ich fürchte mich _____ großen Spinnen.,vor,,Ich fürchte mich vor großen Spinnen.,I am afraid of large spiders.,fürchten
442,14,,Sie fürchtet sich _____ den Folgen ihrer Entscheidung.,vor,,Sie fürchtet sich vor den Folgen ihrer Entscheidung.,She is afraid of the consequences of her decision.,fürchten
443,14,,Der Hersteller garantiert _____ die Qualität des Produkts.,für,,Der Hersteller garantiert für die Qualität des Produkts.,The manufacturer guarantees the quality of the product.,garantieren
444,14,,Ich kann _____ die Pünktlichkeit meines Freundes garantieren.,für,,Ich kann für die Pünktlichkeit meines Freundes garantieren.,I can vouch for my friend's punctuality.,garantieren
445,14,,Der Händler handelt _____ exotischen Gewürzen.,mit,,Der Händler handelt mit exotischen Gewürzen.,The merchant deals in exotic spices.,handeln
446,14,,Sie handelt _____ Kunstwerken aus der ganzen Welt.,mit,,Sie handelt mit Kunstwerken aus der ganzen Welt.,She deals in artworks from around the world.,handeln
447,14,,Der Lehrer wies die Schüler _____ die Bedeutung der Hausaufgaben hin.,auf,,Der Lehrer wies die Schüler auf die Bedeutung der Hausaufgaben hin.,The teacher pointed out the importance of homework to the students.,hinweisen
448,14,,Sie wies _____ die Fehler im Bericht hin.,auf,,Sie wies auf die Fehler im Bericht hin.,She pointed out the mistakes in the report.,hinweisen
449,14,,"Ich konzentriere mich _____ meine Aufgaben, um effizienter zu arbeiten.",auf,,"Ich konzentriere mich auf meine Aufgaben, um effizienter zu arbeiten.",I focus on my tasks to work more efficiently.,konzentrieren
450,14,,Die Mannschaft konzentriert sich _____ das nächste Spiel.,auf,,Die Mannschaft konzentriert sich auf das nächste Spiel.,The team is focusing on the next game.,konzentrieren
451,14,,Ich muss noch einmal _____ dein Angebot nachdenken.,über,,Ich muss noch einmal über dein Angebot nachdenken.,I need to think about your offer again.,nachdenken
452,14,,Wir denken _____ die besten Lösungen für dieses Problem nach.,über,,Wir denken über die besten Lösungen für dieses Problem nach.,We are thinking about the best solutions to this problem.,nachdenken
453,14,,Wie hast du _____ die Kritik reagiert?,auf,,Wie hast du auf die Kritik reagiert?,How did you react to the criticism?,reagieren
454,14,,Sie reagierte _____ die Frage mit einem Lächeln.,auf,,Sie reagierte auf die Frage mit einem Lächeln.,She responded to the question with a smile.,reagieren
455,14,,Das Parfüm riecht _____ Rosen.,nach,,Das Parfüm riecht nach Rosen.,The perfume smells like roses.,riechen
456,14,,Der Raum riecht _____ frischer Farbe.,nach,,Der Raum riecht nach frischer Farbe.,The room smells like fresh paint.,riechen
