Nr,level,question,answer,german,english,type
280,4,Wir bekommen _____ viele E-Mails.,täglich,Wir bekommen täglich viele E-Mails.,We receive many emails daily.,
281,4,Sie geht _____ eine Stunde spazieren.,täglich,Sie geht täglich eine Stunde spazieren.,She goes for a walk for an hour every day.,
282,4,"_____ übe ich mein Deutsch, um besser zu werden.",Täglich,"Täglich übe ich mein Deutsch, um besser zu werden.",I practice my German daily to improve.,
283,4,Ich besuche meine Großeltern _____.,wöchentlich,Ich besuche meine Großeltern wöchentlich.,I visit my grandparents weekly.,
284,4,Er geht _____ zum Fußballtraining.,wöchentlich,Er geht wöchentlich zum Fußballtraining.,He goes to football training weekly.,
285,4,Wir haben _____ ein Team-Meeting.,wöchentlich,Wir haben wöchentlich ein Team-Meeting.,We have a team meeting every week.,
286,4,Sie bekommt _____ eine neue Aufgabe in ihrem Kurs.,wöchentlich,Sie bekommt wöchentlich eine neue Aufgabe in ihrem Kurs.,She gets a new assignment in her course every week.,
287,4,_____ kaufen wir frisches Obst und Gemüse auf dem Markt.,Wöchentlich,Wöchentlich kaufen wir frisches Obst und Gemüse auf dem Markt.,We buy fresh fruits and vegetables at the market weekly.,
288,4,Ich zahle meine Miete _____.,monatlich,Ich zahle meine Miete monatlich.,I pay my rent monthly.,
289,4,Er bekommt sein Gehalt _____ auf sein Konto überwiesen.,monatlich,Er bekommt sein Gehalt monatlich auf sein Konto überwiesen.,He receives his salary monthly in his bank account.,
290,4,Wir treffen uns _____ mit unseren Freunden zum Essen.,monatlich,Wir treffen uns monatlich mit unseren Freunden zum Essen.,We meet monthly with our friends for dinner.,
291,4,Sie bekommt _____ eine Zeitschrift per Post.,monatlich,Sie bekommt monatlich eine Zeitschrift per Post.,She receives a magazine by mail every month.,
292,4,_____ spare ich etwas Geld für den Urlaub.,Monatlich,Monatlich spare ich etwas Geld für den Urlaub.,I save some money every month for vacation.,
293,4,Ich mache _____ eine Gesundheitsuntersuchung.,jährlich,Ich mache jährlich eine Gesundheitsuntersuchung.,I have a health check-up annually.,
294,4,Er fährt _____ in den Urlaub nach Spanien.,jährlich,Er fährt jährlich in den Urlaub nach Spanien.,He goes on vacation to Spain every year.,
295,4,Wir feiern _____ unser Firmenjubiläum.,jährlich,Wir feiern jährlich unser Firmenjubiläum.,We celebrate our company anniversary every year.,
296,4,Sie bekommt _____ eine Gehaltserhöhung.,jährlich,Sie bekommt jährlich eine Gehaltserhöhung.,She receives a salary increase annually.,
297,4,_____ findet ein großes Musikfestival in der Stadt statt.,Jährlich,Jährlich findet ein großes Musikfestival in der Stadt statt.,A big music festival takes place in the city every year.,
298,4,_____ senden Sie uns die erforderlichen Unterlagen bis Freitag.,Bitte,Bitte senden Sie uns die erforderlichen Unterlagen bis Freitag.,Please send us the required documents by Friday.,
299,4,Könnten Sie mir _____ die genaue Adresse mitteilen?,bitte,Könnten Sie mir bitte die genaue Adresse mitteilen?,Could you please provide me with the exact address?,
300,4,"_____ beachten Sie, dass die Anmeldung bis zum 15. März erfolgen muss.",Bitte,"Bitte beachten Sie, dass die Anmeldung bis zum 15. März erfolgen muss.",Please note that registration must be completed by March 15.,
301,4,"Falls Sie Fragen haben, kontaktieren Sie uns _____ per E-Mail.",bitte,"Falls Sie Fragen haben, kontaktieren Sie uns bitte per E-Mail.","If you have any questions, please contact us via email.",
302,4,"_____ nehmen Sie Platz und warten Sie, bis Ihr Name aufgerufen wird.",Bitte,"Bitte nehmen Sie Platz und warten Sie, bis Ihr Name aufgerufen wird.",Please take a seat and wait until your name is called.,
303,4,"Bitte sprich nicht so _____, ich kann dir nicht folgen.",schnell,"Bitte sprich nicht so schnell, ich kann dir nicht folgen.","Please don’t speak so fast, I can’t follow you.",
304,4,"Er läuft sehr _____, weil er für einen Wettkampf trainiert.",schnell,"Er läuft sehr schnell, weil er für einen Wettkampf trainiert.",He runs very fast because he is training for a competition.,
305,4,"Die Zeit vergeht _____, wenn man Spaß hat.",schnell,"Die Zeit vergeht schnell, wenn man Spaß hat.",Time passes quickly when you are having fun.,
306,4,"Wir müssen _____ gehen, sonst verpassen wir den Bus.",schnell,"Wir müssen schnell gehen, sonst verpassen wir den Bus.","We have to walk quickly, otherwise, we’ll miss the bus.",
307,4,Sie hat _____ ihre Hausaufgaben gemacht und ist dann rausgegangen.,schnell,Sie hat schnell ihre Hausaufgaben gemacht und ist dann rausgegangen.,She quickly did her homework and then went outside.,
308,4,"Bitte sprich _____, ich verstehe nicht alles.",langsam,"Bitte sprich langsam, ich verstehe nicht alles.","Please speak slowly, I don’t understand everything.",
309,4,"Er fährt _____, weil die Straße rutschig ist.",langsam,"Er fährt langsam, weil die Straße rutschig ist.",He drives slowly because the road is slippery.,
310,4,"Der Computer arbeitet _____, weil er alt ist.",langsam,"Der Computer arbeitet langsam, weil er alt ist.",The computer works slowly because it is old.,
311,4,Sie ging _____ durch den Park und genoss die Sonne.,langsam,Sie ging langsam durch den Park und genoss die Sonne.,She walked slowly through the park and enjoyed the sun.,
312,4,"Ich lerne _____, aber ich mache Fortschritte.",langsam,"Ich lerne langsam, aber ich mache Fortschritte.","I learn slowly, but I am making progress.",
313,5,"in the front, at the front",vorn,,,
314,5,at the back,hinten,,,
315,5,above,oben,,,
316,5,below,unten,,,
317,5,actually,eigentlich,,,
318,5,normally,normalerweise,,,
319,5,"quite, fairly",ziemlich,,,
320,5,before,vorher,,,
321,5,after,danach,,,
322,5,"especially, particularly",besonders,,,
323,5,"even, at all",gar,,,
324,5,"naturally, of course",natürlich,,,
325,5,further,weiter,,,
326,5,"even, self",selbst,,,
327,5,"at that time, back then",damals,,,
328,5,this time,diesmal,,,
329,5,no matter,egal,,,
330,5,rather,lieber,,,
331,5,similarly,ähnlich,,,
332,5,for example,zum Beispiel,,,
333,5,differently,anders,,,
334,5,"immediately, right away",sofort,,,
335,5,approximately,circa,,,
336,5,recently,vor kurzem,,,
337,5,currently,zurzeit,,,
338,5,"exactly, precisely",genau,,,
339,5,finally,endlich,,,
340,5,"in the future, from now on",zukünftig,,,
341,5,several times,mehrmals,,,
342,5,"randomly, by chance",zufällig,,,
343,5,actively,aktiv,,,
344,5,passively,passiv,,,
345,6,Mein Zimmer ist _____ im zweiten Stock.,oben,Mein Zimmer ist oben im zweiten Stock.,My room is upstairs on the second floor.,
346,6,Das Buch liegt _____ auf dem Regal.,oben,Das Buch liegt oben auf dem Regal.,The book is on the shelf above.,
347,6,"Ich gehe nach _____, um meine Jacke zu holen.",oben,"Ich gehe nach oben, um meine Jacke zu holen.",I'm going upstairs to get my jacket.,
348,6,_____ auf dem Berg hat man eine schöne Aussicht.,Oben,Oben auf dem Berg hat man eine schöne Aussicht.,"At the top of the mountain, you have a beautiful view.",
349,6,"Die Küche ist unten, das Wohnzimmer ist _____.",oben,"Die Küche ist unten, das Wohnzimmer ist oben.","The kitchen is downstairs, the living room is upstairs.",
350,6,"Mein Schlafzimmer ist oben, die Küche ist _____.",unten,"Mein Schlafzimmer ist oben, die Küche ist unten.","My bedroom is upstairs, the kitchen is downstairs.",
351,6,Das Buch liegt _____ im Regal.,unten,Das Buch liegt unten im Regal.,The book is on the lower shelf.,
352,6,"Ich gehe nach _____, um die Tür zu öffnen.",unten,"Ich gehe nach unten, um die Tür zu öffnen.",I'm going downstairs to open the door.,
353,6,_____ im Tal gibt es ein kleines Dorf.,Unten,Unten im Tal gibt es ein kleines Dorf.,"Down in the valley, there is a small village.",
354,6,Bitte warten Sie _____ am Eingang.,unten,Bitte warten Sie unten am Eingang.,Please wait downstairs at the entrance.,
355,6,"Ich sitze lieber _____ im Bus, weil ich die Aussicht mag.",vorn,"Ich sitze lieber vorn im Bus, weil ich die Aussicht mag.",I prefer to sit at the front of the bus because I like the view.,
356,6,Das Museum ist gleich _____ an der Ecke.,vorn,Das Museum ist gleich vorn an der Ecke.,The museum is right at the front on the corner.,
357,6,"Stell dich bitte _____ an, wenn du schon dran bist.",vorn,"Stell dich bitte vorn an, wenn du schon dran bist.",Please stand in front if it’s your turn.,
358,6,_____ im Garten stehen viele bunte Blumen.,Vorn,Vorn im Garten stehen viele bunte Blumen.,"In the front of the garden, there are many colorful flowers.",
359,6,Die besten Plätze im Theater sind oft ganz _____.,vorn,Die besten Plätze im Theater sind oft ganz vorn.,The best seats in the theater are often right at the front.,
360,6,Das Auto steht ganz _____ auf dem Parkplatz.,hinten,Das Auto steht ganz hinten auf dem Parkplatz.,The car is parked all the way at the back of the parking lot.,
361,6,_____ im Garten gibt es eine kleine Hütte.,Hinten,Hinten im Garten gibt es eine kleine Hütte.,"At the back of the garden, there is a small hut.",
362,6,"Ich sitze lieber _____ im Bus, weil es ruhiger ist.",hinten,"Ich sitze lieber hinten im Bus, weil es ruhiger ist.",I prefer to sit at the back of the bus because it is quieter.,
363,6,"Der Eingang ist vorne, aber _____ gibt es einen Notausgang.",hinten,"Der Eingang ist vorne, aber hinten gibt es einen Notausgang.","The entrance is at the front, but there is an emergency exit at the back.",
364,6,_____ im Schrank habe ich noch ein altes Fotoalbum gefunden.,Hinten,Hinten im Schrank habe ich noch ein altes Fotoalbum gefunden.,"At the back of the cupboard, I found an old photo album.",
365,6,Heute ist das Wetter _____.,anders,Heute ist das Wetter anders.,Today the weather is different.,
366,6,Kannst du das _____ sagen?,anders,Kannst du das anders sagen?,Can you say that differently?,
367,6,Er denkt _____ als ich.,anders,Er denkt anders als ich.,He thinks differently than I do.,
368,6,Dieses Mal machen wir es _____.,anders,Dieses Mal machen wir es anders.,This time we will do it differently.,
369,6,Jeder Mensch ist _____.,anders,Jeder Mensch ist anders.,Every person is different.,
370,6,"_____ wollte ich ins Kino gehen, aber ich habe keine Zeit.",Eigentlich,"Eigentlich wollte ich ins Kino gehen, aber ich habe keine Zeit.","Actually, I wanted to go to the cinema, but I don't have time.",
371,6,"Er ist _____ sehr nett, aber manchmal ein bisschen schüchtern.",eigentlich,"Er ist eigentlich sehr nett, aber manchmal ein bisschen schüchtern.","He is actually very nice, but sometimes a little shy.",
372,6,"_____ esse ich kein Fleisch, aber heute mache ich eine Ausnahme.",Eigentlich,"Eigentlich esse ich kein Fleisch, aber heute mache ich eine Ausnahme.","Actually, I don’t eat meat, but today I’m making an exception.",
373,6,"Wir wollten _____ nach Italien reisen, aber die Flüge waren zu teuer.",eigentlich,"Wir wollten eigentlich nach Italien reisen, aber die Flüge waren zu teuer.","We actually wanted to travel to Italy, but the flights were too expensive.",
374,6,"_____ ist es nicht schwer, aber man muss viel üben.",Eigentlich,"Eigentlich ist es nicht schwer, aber man muss viel üben.","Actually, it’s not difficult, but you have to practice a lot.",
375,6,"Ich muss meine E-Mails checken, _____ kann ich nicht gehen.",vorher,"Ich muss meine E-Mails checken, vorher kann ich nicht gehen.","I have to check my emails, before that I can’t leave.",
376,6,"Sie hatte noch nie Sushi probiert, _____ mochte sie es nicht.",vorher,"Sie hatte noch nie Sushi probiert, vorher mochte sie es nicht.","She had never tried sushi before, before that she didn’t like it.",
377,6,"Wir sollten die Tickets kaufen, _____ könnten sie ausverkauft sein.",vorher,"Wir sollten die Tickets kaufen, vorher könnten sie ausverkauft sein.","We should buy the tickets, before that they might sell out.",
378,6,"Er hat den Vertrag genau gelesen, _____ wollte er nicht unterschreiben.",vorher,"Er hat den Vertrag genau gelesen, vorher wollte er nicht unterschreiben.","He read the contract carefully, before that he didn’t want to sign.",
379,6,"Ich rufe dich an, _____ muss ich aber noch etwas erledigen.",vorher,"Ich rufe dich an, vorher muss ich aber noch etwas erledigen.","I will call you, but before that, I need to take care of something.",
380,6,"Ich habe letztes Mal verloren, aber _____ gewinne ich!",diesmal,"Ich habe letztes Mal verloren, aber diesmal gewinne ich!","Last time I lost, but this time I will win!",
381,6,_____ fahren wir mit dem Zug und nicht mit dem Auto.,Diesmal,Diesmal fahren wir mit dem Zug und nicht mit dem Auto.,This time we are taking the train and not the car.,
382,6,"Er hat die Prüfung letztes Jahr nicht bestanden, aber _____ hat er sich besser vorbereitet.",diesmal,"Er hat die Prüfung letztes Jahr nicht bestanden, aber diesmal hat er sich besser vorbereitet.","He didn’t pass the exam last year, but this time he prepared better.",
383,6,"Wir haben letztes Mal Pizza gegessen, _____ probieren wir etwas Neues.",diesmal,"Wir haben letztes Mal Pizza gegessen, diesmal probieren wir etwas Neues.","Last time we ate pizza, this time we are trying something new.",
384,6,"_____ komme ich pünktlich, versprochen!",Diesmal,"Diesmal komme ich pünktlich, versprochen!","This time I will be on time, I promise!",
385,6,Er hat das ganze Haus _____ renoviert.,selbst,Er hat das ganze Haus selbst renoviert.,He renovated the entire house himself.,
386,6,"_____ wenn es regnet, gehe ich joggen.",Selbst,"Selbst wenn es regnet, gehe ich joggen.","Even when it rains, I go jogging.",
387,6,"Sie hat das Problem _____ gelöst, ohne Hilfe zu brauchen.",selbst,"Sie hat das Problem selbst gelöst, ohne Hilfe zu brauchen.",She solved the problem herself without needing help.,
388,6,_____ die besten Schüler machen manchmal Fehler.,Selbst,Selbst die besten Schüler machen manchmal Fehler.,Even the best students make mistakes sometimes.,
389,6,"Ich kann das _____ machen, du musst mir nicht helfen.",selbst,"Ich kann das selbst machen, du musst mir nicht helfen.","I can do this myself, you don’t need to help me.",
390,6,"Ich habe heute _____ keine Zeit, um ins Kino zu gehen.",gar,"Ich habe heute gar keine Zeit, um ins Kino zu gehen.",I have no time at all to go to the cinema today.,
391,6,"Er spricht _____ kein Französisch, aber er lernt es gerade.",gar,"Er spricht gar kein Französisch, aber er lernt es gerade.","He doesn’t speak any French at all, but he is learning it.",
392,6,"Das Essen schmeckt _____ nicht so schlecht, wie ich dachte.",gar,"Das Essen schmeckt gar nicht so schlecht, wie ich dachte.","The food doesn’t taste bad at all, as I thought.",
393,6,"Ich wusste _____ nicht, dass du in Berlin wohnst.",gar,"Ich wusste gar nicht, dass du in Berlin wohnst.",I didn’t even know that you live in Berlin.,
394,6,"Sie hat _____ nicht bemerkt, dass ich schon da war.",gar,"Sie hat gar nicht bemerkt, dass ich schon da war.",She didn’t even notice that I was already there.,
395,6,"Ich mag Obst, _____ Äpfel und Bananen.",zum Beispiel,"Ich mag Obst, zum Beispiel Äpfel und Bananen.","I like fruit, for example, apples and bananas.",
396,6,"Viele europäische Länder haben den Euro, _____ Deutschland und Frankreich.",zum Beispiel,"Viele europäische Länder haben den Euro, zum Beispiel Deutschland und Frankreich.","Many European countries use the euro, for example, Germany and France.",
397,6,"Man kann viele Sportarten treiben, _____ Tennis oder Fussball.",zum Beispiel,"Man kann viele Sportarten treiben, zum Beispiel Tennis oder Fussball.","You can practice many sports, for example, tennis or soccer.",
398,6,"Es gibt viele schöne Städte in Italien, _____ Rom und Florenz.",zum Beispiel,"Es gibt viele schöne Städte in Italien, zum Beispiel Rom und Florenz.","There are many beautiful cities in Italy, for example, Rome and Florence.",
399,6,"Einige Tiere sind sehr intelligent, _____ Delfine und Elefanten.",zum Beispiel,"Einige Tiere sind sehr intelligent, zum Beispiel Delfine und Elefanten.","Some animals are very intelligent, for example, dolphins and elephants.",
400,6,Das Konzert dauert _____ zwei Stunden.,circa,Das Konzert dauert circa zwei Stunden.,The concert lasts about two hours.,
401,6,Wir haben _____ 20 Gäste zur Feier eingeladen.,circa,Wir haben circa 20 Gäste zur Feier eingeladen.,We invited approximately 20 guests to the party.,
402,6,Der Zug kommt in _____ fünf Minuten an.,circa,Der Zug kommt in circa fünf Minuten an.,The train arrives in about five minutes.,
403,6,Die Reise nach Berlin dauert _____ vier Stunden mit dem Auto.,circa,Die Reise nach Berlin dauert circa vier Stunden mit dem Auto.,The trip to Berlin takes about four hours by car.,
404,6,Die Wohnung kostet _____ 1.000 Euro pro Monat.,circa,Die Wohnung kostet circa 1.000 Euro pro Monat.,"The apartment costs approximately 1,000 euros per month.",
405,6,Ich trinke _____ Tee als Kaffee.,lieber,Ich trinke lieber Tee als Kaffee.,I prefer drinking tea over coffee.,
406,6,"Er bleibt _____ zu Hause, wenn es regnet.",lieber,"Er bleibt lieber zu Hause, wenn es regnet.",He prefers staying at home when it rains.,
407,6,Wir fahren _____ mit dem Zug als mit dem Auto.,lieber,Wir fahren lieber mit dem Zug als mit dem Auto.,We prefer traveling by train rather than by car.,
408,6,Sie isst _____ Gemüse als Fleisch.,lieber,Sie isst lieber Gemüse als Fleisch.,She prefers eating vegetables over meat.,
409,6,Ich lese _____ Bücher als Filme zu schauen.,lieber,Ich lese lieber Bücher als Filme zu schauen.,I prefer reading books rather than watching movies.,
410,6,"_____ helfe ich dir, wenn du Hilfe brauchst.",Natürlich,"Natürlich helfe ich dir, wenn du Hilfe brauchst.","Of course, I will help you if you need help.",
411,6,"Er war müde, also hat er sich _____ früh schlafen gelegt.",natürlich,"Er war müde, also hat er sich natürlich früh schlafen gelegt.","He was tired, so of course, he went to bed early.",
412,6,"_____ kannst du mich jederzeit anrufen, wenn du Fragen hast.",Natürlich,"Natürlich kannst du mich jederzeit anrufen, wenn du Fragen hast.","Of course, you can call me anytime if you have questions.",
413,6,"Es ist _____ wichtig, gesund zu essen.",natürlich,"Es ist natürlich wichtig, gesund zu essen.","Naturally, it is important to eat healthily.",
414,6,"Sie war nervös vor der Prüfung, was _____ verständlich ist.",natürlich,"Sie war nervös vor der Prüfung, was natürlich verständlich ist.","She was nervous before the exam, which is naturally understandable.",
415,6,Das Wetter ist heute _____ kalt für den Frühling.,ziemlich,Das Wetter ist heute ziemlich kalt für den Frühling.,The weather is quite cold today for spring.,
416,6,"Die Prüfung war _____ schwer, aber ich habe mein Bestes gegeben.",ziemlich,"Die Prüfung war ziemlich schwer, aber ich habe mein Bestes gegeben.","The exam was quite difficult, but I did my best.",
417,6,Er ist ein _____ erfahrener Ingenieur in seinem Bereich.,ziemlich,Er ist ein ziemlich erfahrener Ingenieur in seinem Bereich.,He is quite an experienced engineer in his field.,
418,6,"Die Wohnung ist _____ teuer, aber sie hat eine tolle Lage.",ziemlich,"Die Wohnung ist ziemlich teuer, aber sie hat eine tolle Lage.","The apartment is quite expensive, but it has a great location.",
419,6,"Das Buch war _____ interessant, ich konnte es kaum weglegen.",ziemlich,"Das Buch war ziemlich interessant, ich konnte es kaum weglegen.","The book was quite interesting, I could hardly put it down.",
420,6,"Es ist mir _____, welchen Film wir schauen.",egal,"Es ist mir egal, welchen Film wir schauen.",I don’t care which movie we watch.,
421,6,"Er sagt, dass ihm das Ergebnis _____ ist, aber ich glaube ihm nicht.",egal,"Er sagt, dass ihm das Ergebnis egal ist, aber ich glaube ihm nicht.","He says he doesn’t care about the result, but I don’t believe him.",
422,6,"_____ wie viel es kostet, ich möchte dieses Konzert sehen.",Egal,"Egal wie viel es kostet, ich möchte dieses Konzert sehen.","No matter how much it costs, I want to see this concert.",
423,6,"Ob wir morgen oder übermorgen fahren, ist mir _____.",egal,"Ob wir morgen oder übermorgen fahren, ist mir egal.","Whether we leave tomorrow or the day after, I don’t mind.",
424,6,"Sie tut so, als wäre ihr alles _____, aber das stimmt nicht.",egal,"Sie tut so, als wäre ihr alles egal, aber das stimmt nicht.","She acts as if she doesn’t care about anything, but that’s not true.",
425,6,"Ich mag viele Sportarten, aber ich spiele _____ gern Tennis.",besonders,"Ich mag viele Sportarten, aber ich spiele besonders gern Tennis.","I like many sports, but I especially enjoy playing tennis.",
426,6,Das Essen im Restaurant war _____ lecker.,besonders,Das Essen im Restaurant war besonders lecker.,The food in the restaurant was particularly delicious.,
427,6,"Dieses Buch ist _____ interessant für Menschen, die Geschichte mögen.",besonders,"Dieses Buch ist besonders interessant für Menschen, die Geschichte mögen.",This book is especially interesting for people who like history.,
428,6,"Er arbeitet _____ hart, um seine Ziele zu erreichen.",besonders,"Er arbeitet besonders hart, um seine Ziele zu erreichen.",He works particularly hard to achieve his goals.,
429,6,Das Wetter ist heute _____ schön für einen Spaziergang.,besonders,Das Wetter ist heute besonders schön für einen Spaziergang.,The weather is especially nice today for a walk.,
430,6,Diese beiden Autos sehen sich sehr _____.,ähnlich,Diese beiden Autos sehen sich sehr ähnlich.,These two cars look very similar.,
431,6,Deutsch ist dem Niederländischen ziemlich _____.,ähnlich,Deutsch ist dem Niederländischen ziemlich ähnlich.,German is quite similar to Dutch.,
432,6,Die Situation ist _____ wie letztes Jahr.,ähnlich,Die Situation ist ähnlich wie letztes Jahr.,The situation is similar to last year.,
433,6,Ich habe es _____ gemacht.,ähnlich,Ich habe es ähnlich gemacht.,I've done it similarly.,
434,6,"Die Zwillinge sehen sich zwar _____, aber sie haben unterschiedliche Persönlichkeiten.",ähnlich,"Die Zwillinge sehen sich zwar ähnlich, aber sie haben unterschiedliche Persönlichkeiten.","The twins may look similar, but they have different personalities.",
435,6,"Wir gehen ins Kino, und _____ essen wir in einem Restaurant.",danach,"Wir gehen ins Kino, und danach essen wir in einem Restaurant.","We are going to the cinema, and after that, we will eat in a restaurant.",
436,6,"Er hat das Meeting beendet, _____ hat er eine Pause gemacht.",danach,"Er hat das Meeting beendet, danach hat er eine Pause gemacht.","He finished the meeting, and afterwards, he took a break.",
437,6,"Ich mache meine Hausaufgaben, _____ treffe ich mich mit Freunden.",danach,"Ich mache meine Hausaufgaben, danach treffe ich mich mit Freunden.","I do my homework, and after that, I meet up with friends.",
438,6,"Sie hat die Präsentation gehalten, _____ gab es viele Fragen.",danach,"Sie hat die Präsentation gehalten, danach gab es viele Fragen.","She gave the presentation, and afterwards, there were many questions.",
439,6,"Ich habe das Buch gelesen, _____ habe ich den Film geschaut.",danach,"Ich habe das Buch gelesen, danach habe ich den Film geschaut.","I read the book, and after that, I watched the movie.",
440,6,Nach einer kurzen Pause arbeiten wir _____.,weiter,Nach einer kurzen Pause arbeiten wir weiter.,"After a short break, we continue working.",
441,6,"Er hat das Buch nicht beendet, aber er liest morgen _____.",weiter,"Er hat das Buch nicht beendet, aber er liest morgen weiter.","He hasn't finished the book, but he will continue reading tomorrow.",
442,6,"Wir müssen _____fahren, sonst kommen wir zu spät an.",weiter,"Wir müssen weiterfahren, sonst kommen wir zu spät an.","We have to keep driving, otherwise, we will arrive too late.",
443,6,"Sie hat eine Frage gestellt, aber der Lehrer hat einfach _____gesprochen.",weiter,"Sie hat eine Frage gestellt, aber der Lehrer hat einfach weitergesprochen.","She asked a question, but the teacher just kept talking.",
444,6,"Wenn du so _____ lernst, wirst du die Prüfung bestehen.",weiter,"Wenn du so weiter lernst, wirst du die Prüfung bestehen.","If you keep studying like this, you will pass the exam.",
445,6,Bitte rufen Sie mich _____ zurück.,sofort,Bitte rufen Sie mich sofort zurück.,Please call me back immediately.,
446,6,Er musste _____ ins Krankenhaus gehen.,sofort,Er musste sofort ins Krankenhaus gehen.,He had to go to the hospital right away.,
447,6,"Ich komme _____, ich muss nur noch meine Schuhe anziehen.",sofort,"Ich komme sofort, ich muss nur noch meine Schuhe anziehen.","I’ll come immediately, I just need to put on my shoes.",
448,6,"Wenn du Hilfe brauchst, sag es mir _____.",sofort,"Wenn du Hilfe brauchst, sag es mir sofort.","If you need help, tell me right away.",
449,6,Nach dem Unfall rief sie _____ die Polizei an.,sofort,Nach dem Unfall rief sie sofort die Polizei an.,"After the accident, she immediately called the police.",
450,6,"_____ hatte ich noch kein Handy, wir mussten immer telefonzellen benutzen.",Damals,"Damals hatte ich noch kein Handy, wir mussten immer telefonzellen benutzen.","Back then, I didn’t have a mobile phone, we always had to use phone booths.",
451,6,"Meine Grosseltern haben mir erzählt, dass das Leben _____ schwieriger war.",damals,"Meine Grosseltern haben mir erzählt, dass das Leben damals schwieriger war.",My grandparents told me that life was more difficult back then.,
452,6,"_____ wohnte ich in einer kleinen Stadt, jetzt lebe ich in Berlin.",Damals,"Damals wohnte ich in einer kleinen Stadt, jetzt lebe ich in Berlin.","Back then, I lived in a small town, now I live in Berlin.",
453,6,"Er war _____ sehr schüchtern, aber jetzt ist er viel selbstbewusster.",damals,"Er war damals sehr schüchtern, aber jetzt ist er viel selbstbewusster.","He was very shy back then, but now he is much more confident.",
454,6,"_____ gab es noch keine sozialen Medien, wir haben Briefe geschrieben.",Damals,"Damals gab es noch keine sozialen Medien, wir haben Briefe geschrieben.","Back then, there were no social media, we wrote letters.",
455,6,_____ stehe ich um sieben Uhr auf.,Normalerweise,Normalerweise stehe ich um sieben Uhr auf.,"Normally, I get up at seven o’clock.",
456,6,Er geht _____ nach der Arbeit ins Fitnessstudio.,normalerweise,Er geht normalerweise nach der Arbeit ins Fitnessstudio.,He usually goes to the gym after work.,
457,6,Wir essen _____ um 19 Uhr zu Abend.,normalerweise,Wir essen normalerweise um 19 Uhr zu Abend.,We traditionally have dinner at 7 p.m.,
458,6,"_____ fahre ich mit dem Fahrrad zur Arbeit, aber heute hat es geregnet.",Normalerweise,"Normalerweise fahre ich mit dem Fahrrad zur Arbeit, aber heute hat es geregnet.","Normally, I ride my bike to work, but today it rained.",
459,6,Sie verbringt _____ ihre Wochenenden mit ihrer Familie.,normalerweise,Sie verbringt normalerweise ihre Wochenenden mit ihrer Familie.,She usually spends her weekends with her family.,
460,6,Ich habe _____ einen neuen Job angefangen.,vor kurzem,Ich habe vor kurzem einen neuen Job angefangen.,I recently started a new job.,
461,6,_____ habe ich ein interessantes Buch gelesen.,Vor kurzem,Vor kurzem habe ich ein interessantes Buch gelesen.,I read an interesting book a short time ago.,
462,6,Wir sind _____ in eine neue Wohnung gezogen.,vor kurzem,Wir sind vor kurzem in eine neue Wohnung gezogen.,We moved into a new apartment recently.,
463,6,Er hat _____ mit dem Klavierspielen begonnen.,vor kurzem,Er hat vor kurzem mit dem Klavierspielen begonnen.,He started playing the piano a short time ago.,
464,6,_____ habe ich eine alte Schulfreundin wiedergetroffen.,Vor kurzem,Vor kurzem habe ich eine alte Schulfreundin wiedergetroffen.,I recently met an old school friend again.,
465,6,Ich arbeite _____ an einem wichtigen Projekt.,zurzeit,Ich arbeite zurzeit an einem wichtigen Projekt.,I am currently working on an important project.,
466,6,_____ ist das Wetter sehr kalt.,Zurzeit,Zurzeit ist das Wetter sehr kalt.,"At the moment, the weather is very cold.",
467,6,"Er lernt _____ Spanisch, weil er nach Madrid reisen möchte.",zurzeit,"Er lernt zurzeit Spanisch, weil er nach Madrid reisen möchte.",He is currently learning Spanish because he wants to travel to Madrid.,
468,6,_____ gibt es viele Baustellen in der Stadt.,Zurzeit,Zurzeit gibt es viele Baustellen in der Stadt.,"At the moment, there are many construction sites in the city.",
469,6,Wir haben _____ keine freien Termine.,zurzeit,Wir haben zurzeit keine freien Termine.,We currently have no available appointments.,
470,6,"Ich weiß nicht _____, wann das Meeting beginnt.",genau,"Ich weiß nicht genau, wann das Meeting beginnt.",I don’t know exactly when the meeting starts.,
471,6,"Kannst du mir _____ erklären, wie das funktioniert?",genau,"Kannst du mir genau erklären, wie das funktioniert?",Can you explain to me precisely how that works?,
472,6,Er hat sich _____ an die Anweisungen gehalten.,genau,Er hat sich genau an die Anweisungen gehalten.,He followed the instructions exactly.,
473,6,"Die Zahlen müssen _____ überprüft werden, um Fehler zu vermeiden.",genau,"Die Zahlen müssen genau überprüft werden, um Fehler zu vermeiden.",The numbers must be checked precisely to avoid mistakes.,
474,6,_____ das wollte ich auch sagen!,Genau,Genau das wollte ich auch sagen!,That’s exactly what I wanted to say!,
475,6,Nach einer langen Reise sind wir _____ angekommen.,endlich,Nach einer langen Reise sind wir endlich angekommen.,"After a long journey, we have finally arrived.",
476,6,Er hat _____ seine Abschlussarbeit abgegeben.,endlich,Er hat endlich seine Abschlussarbeit abgegeben.,He has finally submitted his thesis.,
477,6,"_____ habe ich genug Zeit, um mein Buch zu lesen.",Endlich,"Endlich habe ich genug Zeit, um mein Buch zu lesen.","Finally, I have enough time to read my book.",
