Nr,level,level_verb,answer,question,type,prefix,german,english
361,101,C1,anklagen,,1. verb,,,
362,101,C1,anklicken,,1. verb,,,
363,101,C1,anknüpfen,,1. verb,,,
364,101,C1,ankurbeln,,1. verb,,,
365,101,C1,anlaufen,,1. verb,,,
366,101,C1,anlocken,,1. verb,,,
367,101,C1,anmerken,,1. verb,,,
368,101,C1,anordnen,,1. verb,,,
369,101,C1,anpacken,,1. verb,,,
370,101,C1,anrechnen,,1. verb,,,
371,101,C1,anreichern,,1. verb,,,
372,101,C1,anreisen,,1. verb,,,
373,101,C1,anrichten,,1. verb,,,
374,101,C1,ansagen,,1. verb,,,
375,101,C1,anschlagen,,1. verb,,,
376,101,C1,anschreiben,,1. verb,,,
377,101,C1,ansetzen,,1. verb,,,
378,101,C1,anspannen,,1. verb,,,
379,101,C1,anstecken,,1. verb,,,
380,101,C1,anstehen,,1. verb,,,
381,101,C1,ansteigen,to increase,1. verb,,,
382,101,C1,ansteuern,,1. verb,,,
383,101,C1,anstossen,,1. verb,,,
384,101,C1,anstreben,,1. verb,,,
385,101,C1,anstrengen,,1. verb,,,
386,101,C1,antreffen,,1. verb,,,
387,101,C1,antreiben,,1. verb,,,
388,101,C1,anvertrauen,,1. verb,,,
389,101,C1,anwachsen,,1. verb,,,
390,101,C1,anweisen,,1. verb,,,
391,101,C1,anzünden,,1. verb,,,
392,101,C1,antun,"to do something to someone, to appeal to someone",1. verb,,,
393,101,C1,angeln,,1. verb,,,
394,101,C1,anhaben,,1. verb,,,
395,101,C1,aufweisen,,1. verb,,,
396,101,C1,aufmerken,to pay attention,1. verb,,,
397,101,C1,aufarbeiten,,1. verb,,,
398,101,C1,aufbereiten,,1. verb,,,
399,101,C1,aufbewahren,,1. verb,,,
400,101,C1,aufbrauchen,,1. verb,,,
401,101,C1,aufbringen,,1. verb,,,
402,101,C1,aufdecken,,1. verb,,,
403,101,C1,auferlegen,,1. verb,,,
404,101,C1,auffangen,,1. verb,,,
405,101,C1,auffinden,,1. verb,,,
406,101,C1,auffüllen,,1. verb,,,
407,101,C1,aufgehen,,1. verb,,,
408,101,C1,aufgreifen,,1. verb,,,
409,101,C1,aufholen,,1. verb,,,
410,101,C1,aufhängen,,1. verb,,,
411,101,C1,aufkommen,,1. verb,,,
412,101,C1,auflaufen,,1. verb,,,
413,101,C1,auflegen,,1. verb,,,
414,101,C1,auflisten,,1. verb,,,
415,101,C1,aufrechterhalten,,1. verb,,,
416,101,C1,aufrufen,,1. verb,,,
417,101,C1,aufschlagen,,1. verb,,,
418,101,C1,aufschliessen,,1. verb,,,
419,101,C1,aufsetzen,,1. verb,,,
420,101,C1,aufspielen,,1. verb,,,
421,101,C1,aufspüren,,1. verb,,,
422,101,C1,aufstocken,,1. verb,,,
423,101,C1,aufsuchen,,1. verb,,,
424,101,C1,aufteilen,,1. verb,,,
425,101,C1,auftragen,,1. verb,,,
426,101,C1,aufwarten,,1. verb,,,
427,101,C1,aufwenden,,1. verb,,,
428,101,C1,aufwerten,,1. verb,,,
429,101,C1,aufzeichnen,,1. verb,,,
430,101,C1,aufzeigen,,1. verb,,,
431,101,C1,aufziehen,,1. verb,,,
432,101,C1,einschliessen,,1. verb,,,
433,101,C1,eingeben,,1. verb,,,
434,101,C1,einbauen,,1. verb,,,
435,101,C1,einarbeiten,,1. verb,,,
436,101,C1,einberufen,,1. verb,,,
437,101,C1,einbetten,,1. verb,,,
438,101,C1,einbinden,,1. verb,,,
439,101,C1,einbrechen,,1. verb,,,
440,101,C1,einbringen,,1. verb,,,
441,101,C1,einbüssen,,1. verb,,,
442,101,C1,eindringen,,1. verb,,,
443,101,C1,eindämmen,,1. verb,,,
444,101,C1,einfahren,,1. verb,,,
445,101,C1,einfangen,,1. verb,,,
446,101,C1,einfinden,,1. verb,,,
447,101,C1,einfliessen,,1. verb,,,
448,101,C1,einfordern,,1. verb,,,
449,101,C1,eingestehen,,1. verb,,,
450,101,C1,eingreifen,,1. verb,,,
451,101,C1,einhalten,,1. verb,,,
452,101,C1,einhergehen,,1. verb,,,
453,101,C1,einholen,,1. verb,,,
454,101,C1,einkehren,,1. verb,,,
455,101,C1,einlassen,,1. verb,,,
456,101,C1,einlegen,,1. verb,,,
457,101,C1,einliefern,,1. verb,,,
458,101,C1,einloggen,,1. verb,,,
459,101,C1,einläuten,,1. verb,,,
460,101,C1,einlösen,,1. verb,,,
461,101,C1,einmischen,,1. verb,,,
462,101,C1,einordnen,,1. verb,,,
463,101,C1,einpacken,,1. verb,,,
464,101,C1,einplanen,,1. verb,,,
465,101,C1,einräumen,,1. verb,,,
466,101,C1,einsammeln,,1. verb,,,
467,101,C1,einschätzen,,1. verb,,,
468,101,C1,einsehen,,1. verb,,,
469,101,C1,einsenden,,1. verb,,,
470,101,C1,einsparen,,1. verb,,,
471,101,C1,einspielen,,1. verb,,,
472,101,C1,einstecken,,1. verb,,,
473,101,C1,einstimmen,,1. verb,,,
474,101,C1,einstudieren,,1. verb,,,
475,101,C1,einstufen,,1. verb,,,
476,101,C1,eintauchen,,1. verb,,,
477,101,C1,einteilen,,1. verb,,,
478,101,C1,eintreffen,,1. verb,,,
479,101,C1,einweihen,,1. verb,,,
480,101,C1,einwirken,,1. verb,,,
481,101,C1,einzahlen,,1. verb,,,
482,101,C1,herkommen,"to come over, come here (towards the speaker), to come from",1. verb,,,
483,101,C1,herausfordern,,1. verb,,,
484,101,C1,heranführen,,1. verb,,,
485,101,C1,heranziehen,,1. verb,,,
486,101,C1,herausbringen,,1. verb,,,
487,101,C1,herausgeben,,1. verb,,,
488,101,C1,herausholen,,1. verb,,,
489,101,C1,herauskommen,,1. verb,,,
490,101,C1,herausnehmen,,1. verb,,,
491,101,C1,herausstellen,,1. verb,,,
492,101,C1,herbeiführen,,1. verb,,,
493,101,C1,hergeben,,1. verb,,,
494,101,C1,herrichten,,1. verb,,,
495,101,C1,hervorbringen,,1. verb,,,
496,101,C1,hervorgehen,,1. verb,,,
497,101,C1,hervorrufen,,1. verb,,,
498,101,C1,hindern,to prevent somebody from doing something,1. verb,,,
499,101,C1,hingehen,"to go (there), (of time) to pass",1. verb,,,
500,101,C1,hinzufügen,to add,1. verb,,,
501,101,C1,hinausgehen,,1. verb,,,
502,101,C1,hinbekommen,,1. verb,,,
503,101,C1,hingeben,,1. verb,,,
504,101,C1,hinlegen,,1. verb,,,
505,101,C1,hinnehmen,,1. verb,,,
506,101,C1,hinschauen,,1. verb,,,
507,101,C1,hinterfragen,,1. verb,,,
508,101,C1,hinterlegen,,1. verb,,,
509,101,C1,hinziehen,,1. verb,,,
510,101,C1,hinzukommen,,1. verb,,,
511,101,C1,mitarbeiten,,1. verb,,,
512,101,C1,mitbekommen,,1. verb,,,
513,101,C1,miterleben,,1. verb,,,
514,101,C1,mitfahren,,1. verb,,,
515,101,C1,mitgestalten,,1. verb,,,
516,101,C1,mithalten,,1. verb,,,
517,101,C1,mithelfen,,1. verb,,,
518,101,C1,mitreden,,1. verb,,,
519,101,C1,mitspielen,,1. verb,,,
520,101,C1,mittragen,,1. verb,,,
521,101,C1,mitwirken,,1. verb,,,
522,101,C1,nachfolgen,,1. verb,,,
523,101,C1,nachfragen,,1. verb,,,
524,101,C1,nachgeben,,1. verb,,,
525,101,C1,nachgehen,,1. verb,,,
526,101,C1,nachholen,,1. verb,,,
527,101,C1,nachkommen,,1. verb,,,
528,101,C1,nachlassen,,1. verb,,,
529,101,C1,nachlesen,,1. verb,,,
530,101,C1,nachvollziehen,,1. verb,,,
531,101,C1,vorliegen,"to exist, to be available",1. verb,,,
532,101,C1,vornehmen,"to undertake, to carry out",1. verb,,,
533,101,C1,vorsehen,"to plan, to provide for",1. verb,,,
534,101,C1,vorgehen,,1. verb,,,
535,101,C1,vorwerfen,,1. verb,,,
536,101,C1,voranbringen,,1. verb,,,
537,101,C1,vorangehen,,1. verb,,,
538,101,C1,vorankommen,,1. verb,,,
539,101,C1,vorantreiben,,1. verb,,,
540,101,C1,vorausgehen,,1. verb,,,
541,101,C1,vorbehalten,,1. verb,,,
542,101,C1,vorbeikommen,,1. verb,,,
543,101,C1,vorbeischauen,,1. verb,,,
544,101,C1,vorenthalten,,1. verb,,,
545,101,C1,vorfinden,,1. verb,,,
546,101,C1,vorführen,,1. verb,,,
547,101,C1,vorhalten,,1. verb,,,
548,101,C1,vorhersagen,,1. verb,,,
549,101,C1,vorschreiben,,1. verb,,,
550,101,C1,vortragen,,1. verb,,,
551,101,C1,vorziehen,,1. verb,,,
552,101,C1,vorweisen,to demonstrate,1. verb,,,
553,101,C1,weitergehen,"to continue, to proceed, to keep moving",1. verb,,,
554,101,C1,weiterentwickeln,,1. verb,,,
555,101,C1,weiterführen,,1. verb,,,
556,101,C1,weiterhelfen,,1. verb,,,
557,101,C1,weiterleiten,,1. verb,,,
558,101,C1,weiterlesen,,1. verb,,,
559,101,C1,zugreifen,,1. verb,,,
560,101,C1,zuweisen,,1. verb,,,
561,101,C1,zufügen,,1. verb,,,
562,101,C1,zuführen,,1. verb,,,
563,101,C1,zugestehen,,1. verb,,,
564,101,C1,zukommen,,1. verb,,,
565,101,C1,zumuten,,1. verb,,,
566,101,C1,zurechnen,,1. verb,,,
567,101,C1,zuschauen,,1. verb,,,
568,101,C1,zuschicken,,1. verb,,,
569,101,C1,zuschlagen,,1. verb,,,
570,101,C1,zuschneiden,,1. verb,,,
571,101,C1,zuschreiben,,1. verb,,,
572,101,C1,zusenden,,1. verb,,,
573,101,C1,zusichern,,1. verb,,,
574,101,C1,zusprechen,,1. verb,,,
575,101,C1,zustehen,,1. verb,,,
576,101,C1,zustellen,,1. verb,,,
577,101,C1,zutrauen,,1. verb,,,
578,101,C1,zutreffen,,1. verb,,,
579,101,C1,zuwenden,,1. verb,,,
580,101,C1,zuziehen,,1. verb,,,
581,101,C1,zurückkehren,to return,1. verb,,,
582,101,C1,zurückblicken,,1. verb,,,
583,101,C1,zurückführen,,1. verb,,,
584,101,C1,zurückgreifen,,1. verb,,,
585,101,C1,zurückholen,,1. verb,,,
586,101,C1,zurücklassen,,1. verb,,,
587,101,C1,zurücklegen,,1. verb,,,
588,101,C1,zurücktreten,,1. verb,,,
589,101,C1,zurückweisen,,1. verb,,,
590,101,C1,zurückzahlen,,1. verb,,,
591,101,C1,zusammenbrechen,,1. verb,,,
592,101,C1,zusammenbringen,,1. verb,,,
593,101,C1,zusammenfinden,,1. verb,,,
594,101,C1,zusammenführen,,1. verb,,,
595,101,C1,zusammenhalten,,1. verb,,,
596,101,C1,zusammenhängen,,1. verb,,,
597,101,C1,zusammenkommen,,1. verb,,,
598,101,C1,zusammenschliessen,,1. verb,,,
599,101,C1,zusammensetzen,,1. verb,,,
600,101,C1,zusammentragen,,1. verb,,,
601,101,C1,bestreuen,to sprinkle,1. verb,,,
602,101,C1,benehmen,to behave (refl.),1. verb,,,
603,101,C1,beeilen,"to hurry, to hasten, to rush (refl.)",1. verb,,,
604,101,C1,behindern,"to obstruct, to hamper",1. verb,,,
605,101,C1,betreffen,"to concern, to affect",1. verb,,,
606,101,C1,befördern,to transport,1. verb,,,
607,101,C1,beziehen,"to refer, to obtain",1. verb,,,
608,101,C1,begraben,to bury,1. verb,,,
609,101,C1,besiegen,to defeat (in battle or contest),1. verb,,,
610,101,C1,betrügen,"to cheat, to swindle, to defraud",1. verb,,,
611,101,C1,beibringen,"to teach, to break (news, information) carefully to, to inflict",1. verb,,,
612,101,C1,beleidigen,"to offend someone, to insult someone",1. verb,,,
613,101,C1,bedenken,,1. verb,,,
614,101,C1,beeinträchtigen,,1. verb,,,
615,101,C1,befassen,,1. verb,,,
616,101,C1,beibehalten,,1. verb,,,
617,101,C1,beinhalten,,1. verb,,,
618,101,C1,bereitstellen,,1. verb,,,
619,101,C1,beruhen,,1. verb,,,
620,101,C1,beschleunigen,"to accelerate, to speed up",1. verb,,,
621,101,C1,befehlen,,1. verb,,,
622,101,C1,beleben,,1. verb,,,
623,101,C1,belohnen,,1. verb,,,
624,101,C1,beabsichtigen,,1. verb,,,
625,101,C1,beanspruchen,,1. verb,,,
626,101,C1,beanstanden,,1. verb,,,
627,101,C1,beanständen,,1. verb,,,
628,101,C1,bedachen,,1. verb,,,
629,101,C1,bedauern,,1. verb,,,
630,101,C1,bedecken,,1. verb,,,
631,101,C1,bedrucken,,1. verb,,,
632,101,C1,bedürfen,,1. verb,,,
633,101,C1,befahren,,1. verb,,,
634,101,C1,befallen,,1. verb,,,
635,101,C1,befestigen,,1. verb,,,
636,101,C1,beflügeln,,1. verb,,,
637,101,C1,befolgen,,1. verb,,,
638,101,C1,befragen,,1. verb,,,
639,101,C1,befriedigen,,1. verb,,,
640,101,C1,befristen,,1. verb,,,
641,101,C1,befüllen,,1. verb,,,
642,101,C1,befürworten,,1. verb,,,
643,101,C1,begehren,,1. verb,,,
644,101,C1,begleichen,,1. verb,,,
645,101,C1,begnügen,,1. verb,,,
646,101,C1,begreifen,,1. verb,,,
647,101,C1,begrenzen,,1. verb,,,
648,101,C1,begutachten,,1. verb,,,
649,101,C1,begünstigen,,1. verb,,,
650,101,C1,beharren,,1. verb,,,
651,101,C1,beheben,,1. verb,,,
652,101,C1,beheimaten,,1. verb,,,
653,101,C1,beherbergen,,1. verb,,,
654,101,C1,beilegen,,1. verb,,,
655,101,C1,beisteuern,,1. verb,,,
656,101,C1,beitreten,,1. verb,,,
657,101,C1,bejahen,,1. verb,,,
658,101,C1,bejubeln,,1. verb,,,
659,101,C1,bekanntgeben,,1. verb,,,
660,101,C1,bekennen,,1. verb,,,
661,101,C1,bekleiden,,1. verb,,,
662,101,C1,bekräftigen,,1. verb,,,
663,101,C1,bekunden,,1. verb,,,
664,101,C1,beladen,,1. verb,,,
665,101,C1,belassen,,1. verb,,,
666,101,C1,belaufen,,1. verb,,,
667,101,C1,belehren,,1. verb,,,
668,101,C1,beleuchten,,1. verb,,,
669,101,C1,belieben,,1. verb,,,
670,101,C1,beliefern,,1. verb,,,
671,101,C1,belästigen,,1. verb,,,
672,101,C1,bemalen,,1. verb,,,
673,101,C1,bemessen,,1. verb,,,
674,101,C1,bemängeln,,1. verb,,,
675,101,C1,benachrichtigen,,1. verb,,,
676,101,C1,benachteiligen,,1. verb,,,
677,101,C1,bereichern,,1. verb,,,
678,101,C1,bereisen,,1. verb,,,
679,101,C1,bereithalten,,1. verb,,,
680,101,C1,berufen,,1. verb,,,
681,101,C1,besagen,,1. verb,,,
682,101,C1,beschaffen,,1. verb,,,
683,101,C1,bescheiden,,1. verb,,,
684,101,C1,bescheinigen,,1. verb,,,
685,101,C1,bescheren,,1. verb,,,
686,101,C1,beschimpfen,,1. verb,,,
687,101,C1,beschlagnahmen,,1. verb,,,
688,101,C1,beschreiten,,1. verb,,,
689,101,C1,beschuldigen,,1. verb,,,
690,101,C1,beschwören,,1. verb,,,
691,101,C1,beseitigen,,1. verb,,,
692,101,C1,besiegeln,,1. verb,,,
693,101,C1,besinnen,,1. verb,,,
694,101,C1,bessern,,1. verb,,,
695,101,C1,bestaunen,,1. verb,,,
696,101,C1,bestechen,,1. verb,,,
697,101,C1,besteigen,,1. verb,,,
698,101,C1,bestreiten,,1. verb,,,
699,101,C1,bestärken,,1. verb,,,
700,101,C1,bestücken,,1. verb,,,
701,101,C1,beteuern,,1. verb,,,
702,101,C1,betreten,,1. verb,,,
703,101,C1,betätigen,,1. verb,,,
704,101,C1,bewilligen,,1. verb,,,
705,101,C1,bewirtschaften,,1. verb,,,
706,101,C1,bewohnen,,1. verb,,,
707,101,C1,bewähren,,1. verb,,,
708,101,C1,beziffern,,1. verb,,,
709,101,C1,bezweifeln,,1. verb,,,
710,101,C1,bezwingen,,1. verb,,,
711,101,C1,beissen,,1. verb,,,
712,101,C1,bersten,,1. verb,,,
713,101,C1,entkommen,to escape,1. verb,,,
714,101,C1,entführen,"to abduct, to kidnap",1. verb,,,
715,101,C1,entschleunigen,"to decelerate, to slow down",1. verb,,,
716,101,C1,entfachen,,1. verb,,,
717,101,C1,entfallen,,1. verb,,,
718,101,C1,entfalten,,1. verb,,,
719,101,C1,entgegennehmen,,1. verb,,,
720,101,C1,entgegensetzen,,1. verb,,,
721,101,C1,entgegenwirken,,1. verb,,,
722,101,C1,entgegnen,,1. verb,,,
723,101,C1,entgehen,,1. verb,,,
724,101,C1,enthüllen,,1. verb,,,
725,101,C1,entlarven,,1. verb,,,
726,101,C1,entlasten,,1. verb,,,
727,101,C1,entnehmen,,1. verb,,,
728,101,C1,entpuppen,,1. verb,,,
729,101,C1,entrichten,,1. verb,,,
730,101,C1,entschädigen,,1. verb,,,
731,101,C1,entschärfen,,1. verb,,,
732,101,C1,entsenden,,1. verb,,,
733,101,C1,entsorgen,,1. verb,,,
734,101,C1,entspringen,,1. verb,,,
735,101,C1,entstammen,,1. verb,,,
736,101,C1,entwenden,,1. verb,,,
737,101,C1,entzünden,,1. verb,,,
738,101,C1,erschweren,to burden,1. verb,,,
739,101,C1,erwärmen,to warm,1. verb,,,
740,101,C1,ermitteln,"to determine, to ascertain",1. verb,,,
741,101,C1,erfassen,"to record, to capture",1. verb,,,
742,101,C1,erläutern,"to explain, to clarify",1. verb,,,
743,101,C1,erweisen,"to prove (passively), to turn out to be, to show",1. verb,,,
744,101,C1,ermorden,to murder,1. verb,,,
745,101,C1,erfreuen,"to please, to enjoy (refl.)",1. verb,,,
746,101,C1,erschaffen,"to create, to produce, to make",1. verb,,,
747,101,C1,erlassen,,1. verb,,,
748,101,C1,erlöschen,,1. verb,,,
749,101,C1,erschöpfen,,1. verb,,,
750,101,C1,ersticken,,1. verb,,,
751,101,C1,erwägen,,1. verb,,,
752,101,C1,erachten,,1. verb,,,
753,101,C1,erahnen,,1. verb,,,
754,101,C1,erbauen,,1. verb,,,
755,101,C1,erben,,1. verb,,,
756,101,C1,erbeuten,,1. verb,,,
757,101,C1,erbitten,,1. verb,,,
758,101,C1,erblicken,,1. verb,,,
759,101,C1,erbringen,,1. verb,,,
760,101,C1,ereignen,,1. verb,,,
761,101,C1,erfragen,,1. verb,,,
762,101,C1,ergattern,,1. verb,,,
763,101,C1,ergehen,,1. verb,,,
764,101,C1,erhitzen,,1. verb,,,
765,101,C1,erhoffen,,1. verb,,,
766,101,C1,erklimmen,,1. verb,,,
767,101,C1,erklingen,,1. verb,,,
768,101,C1,erkranken,,1. verb,,,
769,101,C1,erkämpfen,,1. verb,,,
770,101,C1,erlangen,,1. verb,,,
771,101,C1,erlernen,,1. verb,,,
772,101,C1,erliegen,,1. verb,,,
773,101,C1,erlösen,,1. verb,,,
774,101,C1,ermuntern,,1. verb,,,
775,101,C1,ermutigen,,1. verb,,,
776,101,C1,ermässigen,,1. verb,,,
777,101,C1,ernennen,,1. verb,,,
778,101,C1,erneuern,,1. verb,,,
779,101,C1,ernten,,1. verb,,,
780,101,C1,erobern,,1. verb,,,
781,101,C1,erproben,,1. verb,,,
782,101,C1,errechnen,,1. verb,,,
783,101,C1,erringen,,1. verb,,,
784,101,C1,erschlagen,,1. verb,,,
785,101,C1,erschliessen,,1. verb,,,
786,101,C1,erschüttern,,1. verb,,,
787,101,C1,ersparen,,1. verb,,,
788,101,C1,erspielen,,1. verb,,,
789,101,C1,erstatten,,1. verb,,,
790,101,C1,erstehen,,1. verb,,,
791,101,C1,erstrahlen,,1. verb,,,
792,101,C1,ertönen,,1. verb,,,
793,101,C1,erwachen,,1. verb,,,
794,101,C1,erwecken,,1. verb,,,
795,101,C1,erwidern,,1. verb,,,
796,101,C1,erwirtschaften,,1. verb,,,
797,101,C1,erwischen,,1. verb,,,
798,101,C1,erzwingen,,1. verb,,,
799,101,C1,erörtern,,1. verb,,,
800,101,C1,erschiessen,to shoot dead,1. verb,,,
801,101,C1,erkälten,,1. verb,,,
802,101,C1,gedenken,"to commemorate, to remember",1. verb,,,
803,101,C1,genügen,"to suffice, to satisfy",1. verb,,,
804,101,C1,gebrauchen,"to use, to make use of",1. verb,,,
805,101,C1,gebieten,,1. verb,,,
806,101,C1,geleiten,,1. verb,,,
807,101,C1,gestatten,,1. verb,,,
808,101,C1,gewähren,,1. verb,,,
809,101,C1,gedeihen,,1. verb,,,
810,101,C1,gebrechen,,1. verb,,,
811,101,C1,gebühren,,1. verb,,,
812,101,C1,gedulden,,1. verb,,,
813,101,C1,gefrieren,,1. verb,,,
814,101,C1,gegenüberstehen,,1. verb,,,
815,101,C1,geloben,,1. verb,,,
816,101,C1,genehmigen,,1. verb,,,
817,101,C1,generieren,,1. verb,,,
818,101,C1,gereichen,,1. verb,,,
819,101,C1,gesellen,,1. verb,,,
820,101,C1,gestehen,,1. verb,,,
821,101,C1,genesen,,1. verb,,,
822,101,C1,verkleiden,"to dress up, to disguise oneself (refl.)",1. verb,,,
823,101,C1,vergrößern,to enlarge,1. verb,,,
824,101,C1,verkleinern,to reduce,1. verb,,,
825,101,C1,verschmutzen,to dirty,1. verb,,,
826,101,C1,verkürzen,to shorten,1. verb,,,
827,101,C1,verlangsamen,to slow down,1. verb,,,
828,101,C1,vererben,to inherit,1. verb,,,
829,101,C1,verweisen,"to refer, to direct",1. verb,,,
830,101,C1,verdammen,"to condemn, to damn",1. verb,,,
831,101,C1,vernichten,"to destroy, to ruin, to annihilate, to eradicate",1. verb,,,
832,101,C1,versagen,"to fail, to refuse, to deny",1. verb,,,
833,101,C1,verschwenden,"to squander, to waste",1. verb,,,
834,101,C1,verbergen,to conceal sth: to hide something,1. verb,,,
835,101,C1,versetzen,"to put, to move, to deal, to give (a blow, hit), to transfer (when to do with work)",1. verb,,,
836,101,C1,verabreden,"to arrange, to make an appointment",1. verb,,,
837,101,C1,verzehren,to consumme (with your mouth),1. verb,,,
838,101,C1,verfahren,,1. verb,,,
839,101,C1,verringern,,1. verb,,,
840,101,C1,verstärken,,1. verb,,,
841,101,C1,verrühren,"to stir, to mix",1. verb,,,
842,101,C1,verderben,,1. verb,,,
843,101,C1,vereinigen,,1. verb,,,
844,101,C1,verführen,,1. verb,,,
845,101,C1,vergewaltigen,,1. verb,,,
846,101,C1,verkehren,,1. verb,,,
847,101,C1,verklagen,,1. verb,,,
848,101,C1,verschlafen,,1. verb,,,
849,101,C1,verwechseln,,1. verb,,,
850,101,C1,verweigern,,1. verb,,,
851,101,C1,verweilen,,1. verb,,,
852,101,C1,verabreichen,,1. verb,,,
853,101,C1,verankern,,1. verb,,,
854,101,C1,veranlassen,,1. verb,,,
855,101,C1,veranschaulichen,,1. verb,,,
856,101,C1,veranschlagen,,1. verb,,,
857,101,C1,verantworten,,1. verb,,,
858,101,C1,verbannen,,1. verb,,,
859,101,C1,verbauen,,1. verb,,,
860,101,C1,verbleiben,to remain,1. verb,,,
861,101,C1,verbuchen,,1. verb,,,
862,101,C1,verdecken,,1. verb,,,
863,101,C1,verdeutlichen,,1. verb,,,
864,101,C1,verdichten,,1. verb,,,
865,101,C1,verdrängen,,1. verb,,,
866,101,C1,verehren,,1. verb,,,
867,101,C1,vereinen,,1. verb,,,
868,101,C1,verfallen,,1. verb,,,
869,101,C1,verfehlen,,1. verb,,,
870,101,C1,verfeinern,,1. verb,,,
871,101,C1,vergehen,,1. verb,,,
872,101,C1,verhelfen,,1. verb,,,
873,101,C1,verhängen,,1. verb,,,
874,101,C1,verkraften,,1. verb,,,
875,101,C1,verkörpern,,1. verb,,,
876,101,C1,verlagern,,1. verb,,,
877,101,C1,verlauten,,1. verb,,,
878,101,C1,verlegen,,1. verb,,,
879,101,C1,verleiten,,1. verb,,,
880,101,C1,verlesen,,1. verb,,,
881,101,C1,verlinken,,1. verb,,,
882,101,C1,verlosen,,1. verb,,,
883,101,C1,vermarkten,,1. verb,,,
884,101,C1,vermelden,,1. verb,,,
885,101,C1,vermerken,,1. verb,,,
886,101,C1,vermieten,,1. verb,,,
887,101,C1,vermindern,,1. verb,,,
888,101,C1,vermischen,,1. verb,,,
889,101,C1,vermögen,,1. verb,,,
890,101,C1,vernachlässigen,,1. verb,,,
891,101,C1,vernehmen,,1. verb,,,
892,101,C1,verneinen,,1. verb,,,
893,101,C1,vernetzen,,1. verb,,,
894,101,C1,verordnen,,1. verb,,,
895,101,C1,verrechnen,,1. verb,,,
896,101,C1,verrichten,,1. verb,,,
897,101,C1,versammeln,,1. verb,,,
898,101,C1,verschaffen,,1. verb,,,
899,101,C1,verschenken,,1. verb,,,
900,101,C1,verschicken,,1. verb,,,
901,101,C1,verschlagen,,1. verb,,,
902,101,C1,verschleppen,,1. verb,,,
903,101,C1,verschliessen,,1. verb,,,
904,101,C1,verschlingen,,1. verb,,,
905,101,C1,verschlüsseln,,1. verb,,,
906,101,C1,verschmelzen,,1. verb,,,
907,101,C1,verschonen,,1. verb,,,
908,101,C1,verschärfen,,1. verb,,,
909,101,C1,verschönern,,1. verb,,,
910,101,C1,versenden,,1. verb,,,
911,101,C1,versenken,,1. verb,,,
912,101,C1,versinken,,1. verb,,,
913,101,C1,versperren,,1. verb,,,
914,101,C1,verspielen,,1. verb,,,
915,101,C1,verspüren,,1. verb,,,
916,101,C1,verstauen,,1. verb,,,
917,101,C1,versteigern,,1. verb,,,
918,101,C1,versterben,,1. verb,,,
919,101,C1,verstossen,,1. verb,,,
920,101,C1,verstreichen,,1. verb,,,
921,101,C1,verständigen,,1. verb,,,
922,101,C1,versäumen,,1. verb,,,
923,101,C1,vertagen,,1. verb,,,
924,101,C1,vertragen,,1. verb,,,
925,101,C1,verunsichern,,1. verb,,,
926,101,C1,vervollständigen,,1. verb,,,
927,101,C1,verwehren,,1. verb,,,
928,101,C1,verwerfen,,1. verb,,,
929,101,C1,verwerten,,1. verb,,,
930,101,C1,verwickeln,,1. verb,,,
931,101,C1,verwundern,,1. verb,,,
932,101,C1,verwöhnen,,1. verb,,,
933,101,C1,verzaubern,,1. verb,,,
934,101,C1,verzeichnen,,1. verb,,,
935,101,C1,verzieren,,1. verb,,,
936,101,C1,verzögern,,1. verb,,,
937,101,C1,veräussern,,1. verb,,,
938,101,C1,verüben,,1. verb,,,
939,101,C1,verzweifeln,to despair,1. verb,,,
940,101,C1,vergiften,to poison,1. verb,,,
941,101,C1,zerschlagen,,1. verb,,,
942,101,C1,zerbrechen,,1. verb,,,
943,101,C1,zerlegen,,1. verb,,,
944,101,C1,zertifizieren,,1. verb,,,
945,101,C1,durchsetzen,"to enforce, to assert",1. verb,,,
946,101,C1,durchbrechen,,1. verb,,,
947,101,C1,durchdringen,,1. verb,,,
948,101,C1,durchgehen,,1. verb,,,
949,101,C1,durchhalten,,1. verb,,,
950,101,C1,durchlaufen,,1. verb,,,
951,101,C1,durchlesen,,1. verb,,,
952,101,C1,durchsuchen,,1. verb,,,
953,101,C1,durchziehen,,1. verb,,,
954,101,C1,überfallen,"to attack, to raid (a bank), to invade (a country)",1. verb,,,
955,101,C1,übergeben,"to hand over, to vomit (refl.)",1. verb,,,
956,101,C1,übermitteln,,1. verb,,,
957,101,C1,überarbeiten,,1. verb,,,
958,101,C1,überbieten,,1. verb,,,
959,101,C1,überbringen,,1. verb,,,
960,101,C1,überbrücken,,1. verb,,,
961,101,C1,überdenken,,1. verb,,,
962,101,C1,übereinstimmen,,1. verb,,,
963,101,C1,überfordern,,1. verb,,,
964,101,C1,überführen,,1. verb,,,
965,101,C1,übergehen,,1. verb,,,
966,101,C1,überholen,,1. verb,,,
967,101,C1,überragen,,1. verb,,,
968,101,C1,überreden,,1. verb,,,
969,101,C1,überreichen,,1. verb,,,
970,101,C1,überschlagen,,1. verb,,,
971,101,C1,überschreiben,,1. verb,,,
972,101,C1,überschreiten,,1. verb,,,
973,101,C1,übersehen,,1. verb,,,
974,101,C1,überspringen,,1. verb,,,
975,101,C1,überstehen,,1. verb,,,
976,101,C1,übersteigen,,1. verb,,,
