Nr,exercise,question,answer,german,english,french,adjective,gender_english,gender_french,case_english,case_french,article,article_english,article_french
226,10,Die Lehrerin erklärt einer _____ Schülerin die Aufgabe.,fleißigen,Die Lehrerin erklärt einer fleißigen Schülerin die Aufgabe.,The teacher explains the task to a diligent student.,L'enseignant explique la tâche à un élève assidu.,fleißig,Feminine,Féminin,Dative,Datif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
227,10,Die Nachbarn gratulieren einer _____ Frau zum Geburtstag.,freundlichen,Die Nachbarn gratulieren einer freundlichen Frau zum Geburtstag.,The neighbors congratulate a friendly woman on her birthday.,Les voisins félicitent une femme sympathique pour son anniversaire.,freundlich,Feminine,Féminin,Dative,Datif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
228,10,Ich helfe einem _____ Lehrer bei den Hausaufgaben.,klugen,Ich helfe einem klugen Lehrer bei den Hausaufgaben.,I'm helping a smart teacher with his homework.,J'aide un professeur intelligent avec ses devoirs.,klug,Masculine,Masculin,Dative,Datif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
229,10,Sie gibt einem _____ Hund Futter.,alten,Sie gibt einem alten Hund Futter.,She gives food to an old dog.,Elle donne de la nourriture à un vieux chien.,alt,Masculine,Masculin,Dative,Datif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
230,10,Wir danken einem _____ Künstler für sein Werk.,schönen,Wir danken einem schönen Künstler für sein Werk.,We thank a beautiful artist for his work.,Nous remercions un bel artiste pour son travail.,schön,Masculine,Masculin,Dative,Datif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
231,10,Der Professor erklärt einem _____ Studenten die Aufgabe.,fleißigen,Der Professor erklärt einem fleißigen Studenten die Aufgabe.,The professor explains the task to a diligent student.,Le professeur explique la tâche à un étudiant assidu.,fleißig,Masculine,Masculin,Dative,Datif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
232,10,Die Gäste schenken einem _____ Kellner ein Trinkgeld.,freundlichen,Die Gäste schenken einem freundlichen Kellner ein Trinkgeld.,Guests tip a friendly waiter.,Les clients donnent un pourboire à un serveur sympathique.,freundlich,Masculine,Masculin,Dative,Datif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
233,10,Ich helfe einem _____ Kind bei den Hausaufgaben.,klugen,Ich helfe einem klugen Kind bei den Hausaufgaben.,I'm helping a smart kid with his homework.,J'aide un enfant intelligent avec ses devoirs.,klug,Neuter,Neutre,Dative,Datif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
234,10,Er gibt einem _____ Buch einen neuen Einband.,alten,Er gibt einem alten Buch einen neuen Einband.,He gives an old book a new cover.,Il donne une nouvelle couverture à un vieux livre.,alt,Neuter,Neutre,Dative,Datif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
235,10,Wir danken einem _____ Gemälde für die Inspiration.,schönen,Wir danken einem schönen Gemälde für die Inspiration.,We thank a beautiful painting for the inspiration.,Nous remercions un beau tableau pour l'inspiration.,schön,Neuter,Neutre,Dative,Datif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
236,10,Der Lehrer erklärt einem _____ Mädchen die Aufgabe.,fleißigen,Der Lehrer erklärt einem fleißigen Mädchen die Aufgabe.,The teacher explains the task to a diligent girl.,L'enseignant explique la tâche à une fille assidue.,fleißig,Neuter,Neutre,Dative,Datif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
237,10,Die Eltern schenken einem _____ Lächeln viel Bedeutung.,freundlichen,Die Eltern schenken einem freundlichen Lächeln viel Bedeutung.,Parents attach great importance to a friendly smile.,Les parents attachent une grande importance à un sourire amical.,freundlich,Neuter,Neutre,Dative,Datif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
238,10,Eine _____ Lehrerin erklärt die Grammatik sehr gut.,kluge,Eine kluge Lehrerin erklärt die Grammatik sehr gut.,A smart teacher explains the grammar very well.,Un professeur intelligent explique très bien la grammaire.,klug,Feminine,Féminin,Nominative,Nominatif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
239,10,Eine _____ Katze schläft den ganzen Tag.,alte,Eine alte Katze schläft den ganzen Tag.,An old cat sleeps all day.,Un vieux chat dort toute la journée.,alt,Feminine,Féminin,Nominative,Nominatif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
240,10,Eine _____ Blume steht im Garten.,schöne,Eine schöne Blume steht im Garten.,A beautiful flower stands in the garden.,Une belle fleur se dresse dans le jardin.,schön,Feminine,Féminin,Nominative,Nominatif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
241,10,Eine _____ Schülerin lernt jeden Abend Deutsch.,fleißige,Eine fleißige Schülerin lernt jeden Abend Deutsch.,A hard-working student learns German every evening.,Un étudiant travailleur apprend l'allemand tous les soirs.,fleißig,Feminine,Féminin,Nominative,Nominatif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
242,10,Eine _____ Nachbarin hilft uns oft.,freundliche,Eine freundliche Nachbarin hilft uns oft.,A friendly neighbor often helps us.,Un voisin amical nous aide souvent.,freundlich,Feminine,Féminin,Nominative,Nominatif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
243,10,Ein _____ Lehrer erklärt die Grammatik sehr gut.,kluger,Ein kluger Lehrer erklärt die Grammatik sehr gut.,A smart teacher explains grammar very well.,Un professeur intelligent explique très bien la grammaire.,klug,Masculine,Masculin,Nominative,Nominatif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
244,10,Ein _____ Hund schläft den ganzen Tag.,alter,Ein alter Hund schläft den ganzen Tag.,An old dog sleeps all day.,Un vieux chien dort toute la journée.,alt,Masculine,Masculin,Nominative,Nominatif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
245,10,Ein _____ Baum steht im Garten.,schöner,Ein schöner Baum steht im Garten.,There is a beautiful tree in the garden.,Il y a un bel arbre dans le jardin.,schön,Masculine,Masculin,Nominative,Nominatif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
246,10,Ein _____ Student lernt jeden Abend Deutsch.,fleißiger,Ein fleißiger Student lernt jeden Abend Deutsch.,A hard-working student learns German every evening.,Un étudiant travailleur apprend l'allemand tous les soirs.,fleißig,Masculine,Masculin,Nominative,Nominatif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
247,10,Ein _____ Kellner bringt das Essen schnell.,freundlicher,Ein freundlicher Kellner bringt das Essen schnell.,A friendly waiter brings the food quickly.,Un serveur sympathique apporte la nourriture rapidement.,freundlich,Masculine,Masculin,Nominative,Nominatif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
248,10,Ein _____ Kind stellt viele Fragen.,kluges,Ein kluges Kind stellt viele Fragen.,A smart child asks many questions.,Un enfant intelligent pose beaucoup de questions.,klug,Neuter,Neutre,Nominative,Nominatif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
249,10,Ein _____ Buch liegt auf dem Tisch.,altes,Ein altes Buch liegt auf dem Tisch.,An old book lies on the table.,Un vieux livre est posé sur la table.,alt,Neuter,Neutre,Nominative,Nominatif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
250,10,Ein _____ Bild hängt an der Wand.,schönes,Ein schönes Bild hängt an der Wand.,A beautiful picture hangs on the wall.,Un beau tableau est accroché au mur.,schön,Neuter,Neutre,Nominative,Nominatif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
251,10,Ein _____ Mädchen macht ihre Hausaufgaben.,fleißiges,Ein fleißiges Mädchen macht ihre Hausaufgaben.,A diligent girl does her homework.,Une fille assidue fait ses devoirs.,fleißig,Neuter,Neutre,Nominative,Nominatif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
252,10,Ein _____ Lächeln macht ihn sympathisch.,freundliches,Ein freundliches Lächeln macht ihn sympathisch.,A friendly smile makes him likeable.,Un sourire amical le rend sympathique.,freundlich,Neuter,Neutre,Nominative,Nominatif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
253,11,Ich bewundere die _____ Lehrerin.,kluge,Ich bewundere die kluge Lehrerin.,I admire the clever teacher.,J'admire le professeur intelligent.,klug,Feminine,Féminin,Accusative,Accusatif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
254,11,Er streichelt die _____ Katze.,alte,Er streichelt die alte Katze.,He strokes the old cat.,Il caresse le vieux chat.,alt,Feminine,Féminin,Accusative,Accusatif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
255,11,Wir gießen die _____ Blume im Garten.,schöne,Wir gießen die schöne Blume im Garten.,We water the beautiful flower in the garden.,Nous arrosons la belle fleur du jardin.,schön,Feminine,Féminin,Accusative,Accusatif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
256,11,Der Professor lobt den _____ Studenten.,fleißigen,Der Professor lobt den fleißigen Studenten.,The professor praises the hard-working student.,Le professeur félicite l'étudiant travailleur.,fleißig,Masculine,Masculin,Accusative,Accusatif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
257,11,Die Gäste begrüßen den _____ Kellner herzlich.,freundlichen,Die Gäste begrüßen den freundlichen Kellner herzlich.,The guests warmly welcome the friendly waiter.,Les invités accueillent chaleureusement le serveur sympathique.,freundlich,Masculine,Masculin,Accusative,Accusatif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
258,11,Ich sehe das _____ Kind auf dem Spielplatz.,kluge,Ich sehe das kluge Kind auf dem Spielplatz.,I see the smart kid on the playground.,Je vois l'enfant intelligent sur le terrain de jeu.,klug,Neuter,Neutre,Accusative,Accusatif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
259,11,Sie liest das _____ Buch jeden Abend.,alte,Sie liest das alte Buch jeden Abend.,She reads the old book every night.,Elle lit le vieux livre tous les soirs.,alt,Neuter,Neutre,Accusative,Accusatif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
260,11,Wir bewundern das _____ Bild im Museum.,schöne,Wir bewundern das schöne Bild im Museum.,We admire the beautiful picture in the museum.,Nous admirons le beau tableau dans le musée.,schön,Neuter,Neutre,Accusative,Accusatif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
261,11,Der Lehrer lobt die _____ Schüler.,fleißigen,Der Lehrer lobt die fleißigen Schüler.,The teacher praises the hard-working students.,L'enseignant félicite les élèves qui travaillent dur.,fleißig,Plural,Pluriel,Accusative,Accusatif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
262,11,Die Eltern begrüßen die _____ Nachbarn.,freundlichen,Die Eltern begrüßen die freundlichen Nachbarn.,The parents welcome the friendly neighbors.,Les parents accueillent avec plaisir les voisins sympathiques.,freundlich,Plural,Pluriel,Accusative,Accusatif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
263,11,Ich helfe der _____ Lehrerin bei den Hausaufgaben.,klugen,Ich helfe der klugen Lehrerin bei den Hausaufgaben.,I help the clever teacher with her homework.,J'aide la prof intelligente avec ses devoirs.,klug,Feminine,Féminin,Dative,Datif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
264,11,Er gibt der _____ Katze frisches Wasser.,alten,Er gibt der alten Katze frisches Wasser.,He gives the old cat fresh water.,Il donne de l'eau fraîche au vieux chat.,alt,Feminine,Féminin,Dative,Datif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
265,11,Wir danken der _____ Künstlerin für ihr Werk.,schönen,Wir danken der schönen Künstlerin für ihr Werk.,We thank the beautiful artist for her work.,Nous remercions la belle artiste pour son travail.,schön,Feminine,Féminin,Dative,Datif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
266,11,Der Professor erklärt dem _____ Studenten die Aufgabe.,fleißigen,Der Professor erklärt dem fleißigen Studenten die Aufgabe.,The professor explains the task to the diligent student.,Le professeur explique la tâche à l’étudiant assidu.,fleißig,Masculine,Masculin,Dative,Datif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
267,11,Die Gäste schenken dem _____ Kellner ein Trinkgeld.,freundlichen,Die Gäste schenken dem freundlichen Kellner ein Trinkgeld.,The guests give the friendly waiter a tip.,Les invités donnent un pourboire au serveur sympathique.,freundlich,Masculine,Masculin,Dative,Datif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
268,11,Ich helfe dem _____ Kind bei den Hausaufgaben.,klugen,Ich helfe dem klugen Kind bei den Hausaufgaben.,I help the smart kid with his homework.,J'aide l'enfant intelligent avec ses devoirs.,klug,Neuter,Neutre,Dative,Datif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
269,11,Er gibt dem _____ Buch einen neuen Einband.,alten,Er gibt dem alten Buch einen neuen Einband.,He gives the old book a new cover.,Il donne au vieux livre une nouvelle couverture.,alt,Neuter,Neutre,Dative,Datif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
270,11,Wir danken dem _____ Gemälde für die Inspiration.,schönen,Wir danken dem schönen Gemälde für die Inspiration.,We thank the beautiful painting for the inspiration.,Nous remercions le beau tableau pour l'inspiration.,schön,Neuter,Neutre,Dative,Datif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
271,11,Der Lehrer erklärt den _____ Schülern die Aufgabe.,fleißigen,Der Lehrer erklärt den fleißigen Schülern die Aufgabe.,The teacher explains the task to the diligent students.,L'enseignant explique la tâche aux élèves assidus.,fleißig,Plural,Pluriel,Dative,Datif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
272,11,Die Eltern schenken den _____ Nachbarn ein Geschenk.,freundlichen,Die Eltern schenken den freundlichen Nachbarn ein Geschenk.,The parents give the friendly neighbors a gift.,Les parents offrent un cadeau aux sympathiques voisins.,freundlich,Plural,Pluriel,Dative,Datif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
273,11,Die _____ Lehrerin erklärt die Grammatik sehr gut.,kluge,Die kluge Lehrerin erklärt die Grammatik sehr gut.,The clever teacher explains the grammar very well.,Le professeur intelligent explique très bien la grammaire.,klug,Feminine,Féminin,Nominative,Nominatif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
274,11,Die _____ Katze schläft den ganzen Tag.,alte,Die alte Katze schläft den ganzen Tag.,The old cat sleeps all day.,Le vieux chat dort toute la journée.,alt,Feminine,Féminin,Nominative,Nominatif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
275,11,Die _____ Blume steht im Garten.,schöne,Die schöne Blume steht im Garten.,The beautiful flower stands in the garden.,La belle fleur se dresse dans le jardin.,schön,Feminine,Féminin,Nominative,Nominatif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
276,11,Der _____ Student lernt jeden Abend Deutsch.,fleißige,Der fleißige Student lernt jeden Abend Deutsch.,The hard-working student learns German every evening.,L'étudiant travailleur apprend l'allemand tous les soirs.,fleißig,Masculine,Masculin,Nominative,Nominatif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
277,11,Der _____ Kellner bringt das Essen schnell.,freundliche,Der freundliche Kellner bringt das Essen schnell.,The friendly waiter brings the food quickly.,Le serveur sympathique apporte la nourriture rapidement.,freundlich,Masculine,Masculin,Nominative,Nominatif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
278,11,Das _____ Kind stellt viele Fragen.,kluge,Das kluge Kind stellt viele Fragen.,The clever child asks many questions.,L'enfant intelligent pose beaucoup de questions.,klug,Neuter,Neutre,Nominative,Nominatif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
279,11,Das _____ Buch liegt auf dem Tisch.,alte,Das alte Buch liegt auf dem Tisch.,The old book lies on the table.,Le vieux livre est posé sur la table.,alt,Neuter,Neutre,Nominative,Nominatif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
280,11,Das _____ Bild hängt an der Wand.,schöne,Das schöne Bild hängt an der Wand.,The beautiful picture hangs on the wall.,Le beau tableau est accroché au mur.,schön,Neuter,Neutre,Nominative,Nominatif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
281,11,Die _____ Schüler lernen jeden Tag.,fleißigen,Die fleißigen Schüler lernen jeden Tag.,The hardworking students learn every day.,Les étudiants qui travaillent dur apprennent chaque jour.,fleißig,Plural,Pluriel,Nominative,Nominatif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
282,11,Die _____ Menschen helfen einander.,freundlichen,Die freundlichen Menschen helfen einander.,The friendly people help each other.,Les gens sympathiques s'entraident.,freundlich,Plural,Pluriel,Nominative,Nominatif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
283,11,Ich bewundere eine _____ Lehrerin.,kluge,Ich bewundere eine kluge Lehrerin.,I admire a smart teacher.,J'admire un professeur intelligent.,klug,Feminine,Féminin,Accusative,Accusatif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
284,11,Er streichelt eine _____ Katze.,alte,Er streichelt eine alte Katze.,He strokes an old cat.,Il caresse un vieux chat.,alt,Feminine,Féminin,Accusative,Accusatif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
285,11,Wir gießen eine _____ Blume im Garten.,schöne,Wir gießen eine schöne Blume im Garten.,We water a beautiful flower in the garden.,Nous arrosons une belle fleur dans le jardin.,schön,Feminine,Féminin,Accusative,Accusatif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
286,11,Der Professor lobt einen _____ Studenten.,fleißigen,Der Professor lobt einen fleißigen Studenten.,The professor praises a hard-working student.,Le professeur fait l'éloge d'un étudiant travailleur.,fleißig,Masculine,Masculin,Accusative,Accusatif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
287,11,Die Gäste begrüßen einen _____ Kellner herzlich.,freundlichen,Die Gäste begrüßen einen freundlichen Kellner herzlich.,The guests warmly greet a friendly waiter.,Les invités accueillent chaleureusement un serveur sympathique.,freundlich,Masculine,Masculin,Accusative,Accusatif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
288,11,Ich sehe ein _____ Kind auf dem Spielplatz.,kluges,Ich sehe ein kluges Kind auf dem Spielplatz.,I see a smart child on the playground.,Je vois un enfant intelligent sur le terrain de jeu.,klug,Neuter,Neutre,Accusative,Accusatif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
289,11,Sie liest ein _____ Buch jeden Abend.,altes,Sie liest ein altes Buch jeden Abend.,She reads an old book every night.,Elle lit un vieux livre tous les soirs.,alt,Neuter,Neutre,Accusative,Accusatif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
290,11,Wir bewundern ein _____ Bild im Museum.,schönes,Wir bewundern ein schönes Bild im Museum.,We admire a beautiful painting in the museum.,Nous admirons un beau tableau au musée.,schön,Neuter,Neutre,Accusative,Accusatif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
291,11,Die Lehrerin erklärt einer _____ Schülerin die Aufgabe.,fleißigen,Die Lehrerin erklärt einer fleißigen Schülerin die Aufgabe.,The teacher explains the task to a diligent student.,L'enseignant explique la tâche à un élève assidu.,fleißig,Feminine,Féminin,Dative,Datif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
292,11,Die Nachbarn gratulieren einer _____ Frau zum Geburtstag.,freundlichen,Die Nachbarn gratulieren einer freundlichen Frau zum Geburtstag.,The neighbors congratulate a friendly woman on her birthday.,Les voisins félicitent une femme sympathique pour son anniversaire.,freundlich,Feminine,Féminin,Dative,Datif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
293,11,Ich helfe einem _____ Lehrer bei den Hausaufgaben.,klugen,Ich helfe einem klugen Lehrer bei den Hausaufgaben.,I'm helping a smart teacher with his homework.,J'aide un professeur intelligent avec ses devoirs.,klug,Masculine,Masculin,Dative,Datif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
294,11,Sie gibt einem _____ Hund Futter.,alten,Sie gibt einem alten Hund Futter.,She gives food to an old dog.,Elle donne de la nourriture à un vieux chien.,alt,Masculine,Masculin,Dative,Datif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
295,11,Wir danken einem _____ Künstler für sein Werk.,schönen,Wir danken einem schönen Künstler für sein Werk.,We thank a beautiful artist for his work.,Nous remercions un bel artiste pour son travail.,schön,Masculine,Masculin,Dative,Datif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
296,11,Der Lehrer erklärt einem _____ Mädchen die Aufgabe.,fleißigen,Der Lehrer erklärt einem fleißigen Mädchen die Aufgabe.,The teacher explains the task to a diligent girl.,L'enseignant explique la tâche à une fille assidue.,fleißig,Neuter,Neutre,Dative,Datif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
297,11,Die Eltern schenken einem _____ Lächeln viel Bedeutung.,freundlichen,Die Eltern schenken einem freundlichen Lächeln viel Bedeutung.,Parents attach great importance to a friendly smile.,Les parents attachent une grande importance à un sourire amical.,freundlich,Neuter,Neutre,Dative,Datif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
298,11,Eine _____ Lehrerin erklärt die Grammatik sehr gut.,kluge,Eine kluge Lehrerin erklärt die Grammatik sehr gut.,A smart teacher explains the grammar very well.,Un professeur intelligent explique très bien la grammaire.,klug,Feminine,Féminin,Nominative,Nominatif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
299,11,Eine _____ Katze schläft den ganzen Tag.,alte,Eine alte Katze schläft den ganzen Tag.,An old cat sleeps all day.,Un vieux chat dort toute la journée.,alt,Feminine,Féminin,Nominative,Nominatif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
300,11,Eine _____ Blume steht im Garten.,schöne,Eine schöne Blume steht im Garten.,A beautiful flower stands in the garden.,Une belle fleur se dresse dans le jardin.,schön,Feminine,Féminin,Nominative,Nominatif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
301,11,Ein _____ Student lernt jeden Abend Deutsch.,fleißiger,Ein fleißiger Student lernt jeden Abend Deutsch.,A hard-working student learns German every evening.,Un étudiant travailleur apprend l'allemand tous les soirs.,fleißig,Masculine,Masculin,Nominative,Nominatif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
302,11,Ein _____ Kellner bringt das Essen schnell.,freundlicher,Ein freundlicher Kellner bringt das Essen schnell.,A friendly waiter brings the food quickly.,Un serveur sympathique apporte la nourriture rapidement.,freundlich,Masculine,Masculin,Nominative,Nominatif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
303,11,Ein _____ Kind stellt viele Fragen.,kluges,Ein kluges Kind stellt viele Fragen.,A smart child asks many questions.,Un enfant intelligent pose beaucoup de questions.,klug,Neuter,Neutre,Nominative,Nominatif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
304,11,Ein _____ Buch liegt auf dem Tisch.,altes,Ein altes Buch liegt auf dem Tisch.,An old book lies on the table.,Un vieux livre est posé sur la table.,alt,Neuter,Neutre,Nominative,Nominatif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
305,11,Ein _____ Bild hängt an der Wand.,schönes,Ein schönes Bild hängt an der Wand.,A beautiful picture hangs on the wall.,Un beau tableau est accroché au mur.,schön,Neuter,Neutre,Nominative,Nominatif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
306,12,Die Lehrerin lobt die _____ Schülerin.,fleißige,Die Lehrerin lobt die fleißige Schülerin.,The teacher praises the hard-working student.,L'enseignant félicite l'élève qui travaille dur.,fleißig,Feminine,Féminin,Accusative,Accusatif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
307,12,Sie begrüßen die _____ Nachbarin.,freundliche,Sie begrüßen die freundliche Nachbarin.,You greet the friendly neighbor.,Vous saluez le voisin amical.,freundlich,Feminine,Féminin,Accusative,Accusatif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
308,12,Ich sehe den _____ Lehrer im Klassenzimmer.,klugen,Ich sehe den klugen Lehrer im Klassenzimmer.,I see the smart teacher in the classroom.,Je vois le professeur intelligent dans la classe.,klug,Masculine,Masculin,Accusative,Accusatif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
309,12,Sie füttert den _____ Hund jeden Morgen.,alten,Sie füttert den alten Hund jeden Morgen.,She feeds the old dog every morning.,Elle nourrit le vieux chien tous les matins.,alt,Masculine,Masculin,Accusative,Accusatif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
310,12,Wir bewundern den _____ Baum im Park.,schönen,Wir bewundern den schönen Baum im Park.,We admire the beautiful tree in the park.,Nous admirons le bel arbre du parc.,schön,Masculine,Masculin,Accusative,Accusatif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
