Nr,exercise,question,answer,german,english
421,12,"Viele europäische Länder haben den Euro, _____ Deutschland und Frankreich.",zum Beispiel,"Viele europäische Länder haben den Euro, zum Beispiel Deutschland und Frankreich.","Many European countries use the euro, for example, Germany and France."
422,12,"Man kann viele Sportarten treiben, _____ Tennis oder Fussball.",zum Beispiel,"Man kann viele Sportarten treiben, zum Beispiel Tennis oder Fussball.","You can practice many sports, for example, tennis or soccer."
423,12,"Es gibt viele schöne Städte in Italien, _____ Rom und Florenz.",zum Beispiel,"Es gibt viele schöne Städte in Italien, zum Beispiel Rom und Florenz.","There are many beautiful cities in Italy, for example, Rome and Florence."
424,12,"Einige Tiere sind sehr intelligent, _____ Delfine und Elefanten.",zum Beispiel,"Einige Tiere sind sehr intelligent, zum Beispiel Delfine und Elefanten.","Some animals are very intelligent, for example, dolphins and elephants."
425,12,Das Konzert dauert _____ zwei Stunden.,circa,Das Konzert dauert circa zwei Stunden.,The concert lasts about two hours.
426,12,Wir haben _____ 20 Gäste zur Feier eingeladen.,circa,Wir haben circa 20 Gäste zur Feier eingeladen.,We invited approximately 20 guests to the party.
427,12,Der Zug kommt in _____ fünf Minuten an.,circa,Der Zug kommt in circa fünf Minuten an.,The train arrives in about five minutes.
428,12,Die Reise nach Berlin dauert _____ vier Stunden mit dem Auto.,circa,Die Reise nach Berlin dauert circa vier Stunden mit dem Auto.,The trip to Berlin takes about four hours by car.
429,12,Die Wohnung kostet _____ 1.000 Euro pro Monat.,circa,Die Wohnung kostet circa 1.000 Euro pro Monat.,"The apartment costs approximately 1,000 euros per month."
430,12,Ich trinke _____ Tee als Kaffee.,lieber,Ich trinke lieber Tee als Kaffee.,I prefer drinking tea over coffee.
431,12,"Er bleibt _____ zu Hause, wenn es regnet.",lieber,"Er bleibt lieber zu Hause, wenn es regnet.",He prefers staying at home when it rains.
432,12,Wir fahren _____ mit dem Zug als mit dem Auto.,lieber,Wir fahren lieber mit dem Zug als mit dem Auto.,We prefer traveling by train rather than by car.
433,12,Sie isst _____ Gemüse als Fleisch.,lieber,Sie isst lieber Gemüse als Fleisch.,She prefers eating vegetables over meat.
434,12,Ich lese _____ Bücher als Filme zu schauen.,lieber,Ich lese lieber Bücher als Filme zu schauen.,I prefer reading books rather than watching movies.
435,12,Bitte rufen Sie mich _____ zurück.,sofort,Bitte rufen Sie mich sofort zurück.,Please call me back immediately.
436,12,Er musste _____ ins Krankenhaus gehen.,sofort,Er musste sofort ins Krankenhaus gehen.,He had to go to the hospital right away.
437,12,"Ich komme _____, ich muss nur noch meine Schuhe anziehen.",sofort,"Ich komme sofort, ich muss nur noch meine Schuhe anziehen.","I’ll come immediately, I just need to put on my shoes."
438,12,"Wenn du Hilfe brauchst, sag es mir _____.",sofort,"Wenn du Hilfe brauchst, sag es mir sofort.","If you need help, tell me right away."
439,12,Nach dem Unfall rief sie _____ die Polizei an.,sofort,Nach dem Unfall rief sie sofort die Polizei an.,"After the accident, she immediately called the police."
440,12,Ich habe _____ einen neuen Job angefangen.,vor kurzem,Ich habe vor kurzem einen neuen Job angefangen.,I recently started a new job.
441,12,_____ habe ich ein interessantes Buch gelesen.,Vor kurzem,Vor kurzem habe ich ein interessantes Buch gelesen.,I read an interesting book a short time ago.
442,12,Wir sind _____ in eine neue Wohnung gezogen.,vor kurzem,Wir sind vor kurzem in eine neue Wohnung gezogen.,We moved into a new apartment recently.
443,12,Er hat _____ mit dem Klavierspielen begonnen.,vor kurzem,Er hat vor kurzem mit dem Klavierspielen begonnen.,He started playing the piano a short time ago.
444,12,_____ habe ich eine alte Schulfreundin wiedergetroffen.,Vor kurzem,Vor kurzem habe ich eine alte Schulfreundin wiedergetroffen.,I recently met an old school friend again.
445,12,Ich arbeite _____ an einem wichtigen Projekt.,zurzeit,Ich arbeite zurzeit an einem wichtigen Projekt.,I am currently working on an important project.
446,12,_____ ist das Wetter sehr kalt.,Zurzeit,Zurzeit ist das Wetter sehr kalt.,"At the moment, the weather is very cold."
447,12,"Er lernt _____ Spanisch, weil er nach Madrid reisen möchte.",zurzeit,"Er lernt zurzeit Spanisch, weil er nach Madrid reisen möchte.",He is currently learning Spanish because he wants to travel to Madrid.
448,12,_____ gibt es viele Baustellen in der Stadt.,Zurzeit,Zurzeit gibt es viele Baustellen in der Stadt.,"At the moment, there are many construction sites in the city."
449,12,Wir haben _____ keine freien Termine.,zurzeit,Wir haben zurzeit keine freien Termine.,We currently have no available appointments.
450,12,Nach einer langen Reise sind wir _____ angekommen.,endlich,Nach einer langen Reise sind wir endlich angekommen.,"After a long journey, we have finally arrived."
451,12,Er hat _____ seine Abschlussarbeit abgegeben.,endlich,Er hat endlich seine Abschlussarbeit abgegeben.,He has finally submitted his thesis.
452,12,"_____ habe ich genug Zeit, um mein Buch zu lesen.",Endlich,"Endlich habe ich genug Zeit, um mein Buch zu lesen.","Finally, I have enough time to read my book."
453,12,Sie hat jahrelang trainiert und _____ den Marathon gewonnen.,endlich,Sie hat jahrelang trainiert und endlich den Marathon gewonnen.,She trained for years and finally won the marathon.
454,12,"Wir haben lange gewartet, aber _____ wurde unser Antrag genehmigt.",endlich,"Wir haben lange gewartet, aber endlich wurde unser Antrag genehmigt.","We waited a long time, but finally, our application was approved."
455,12,Er beteiligt sich _____ an den Diskussionen in der Schule.,aktiv,Er beteiligt sich aktiv an den Diskussionen in der Schule.,He actively participates in the discussions at school.
456,12,Sie sucht _____ nach einem neuen Job.,aktiv,Sie sucht aktiv nach einem neuen Job.,She is actively looking for a new job.
457,12,Wir müssen _____ etwas für den Umweltschutz tun.,aktiv,Wir müssen aktiv etwas für den Umweltschutz tun.,We have to actively do something for environmental protection.
458,12,"Er trainiert _____, um seine Fitness zu verbessern.",aktiv,"Er trainiert aktiv, um seine Fitness zu verbessern.",He trains actively to improve his fitness.
459,12,Die Schüler nehmen _____ am Unterricht teil.,aktiv,Die Schüler nehmen aktiv am Unterricht teil.,The students actively take part in the lessons.
460,12,"Er hörte der Diskussion nur _____ zu, ohne etwas zu sagen.",passiv,"Er hörte der Diskussion nur passiv zu, ohne etwas zu sagen.",He listened to the discussion passively without saying anything.
461,12,Sie nahm _____ am Unterricht teil und stellte keine Fragen.,passiv,Sie nahm passiv am Unterricht teil und stellte keine Fragen.,She participated passively in class and didn’t ask any questions.
462,12,"Wenn man _____ lernt, merkt man sich weniger Informationen.",passiv,"Wenn man passiv lernt, merkt man sich weniger Informationen.","If you learn passively, you remember less information."
463,12,"Er wartete _____ darauf, dass sich das Problem von selbst löst.",passiv,"Er wartete passiv darauf, dass sich das Problem von selbst löst.",He waited passively for the problem to resolve itself.
464,12,"Die Zuschauer sahen _____ zu, als das Team verlor.",passiv,"Die Zuschauer sahen passiv zu, als das Team verlor.",The spectators watched passively as the team lost.
465,12,"_____ war alles ungewohnt, aber ich habe mich schnell eingelebt.",Anfangs,"Anfangs war alles ungewohnt, aber ich habe mich schnell eingelebt.","At first, everything was unfamiliar, but I settled in quickly."
466,12,"_____ hatte ich Schwierigkeiten, die Sprache zu verstehen.",Anfangs,"Anfangs hatte ich Schwierigkeiten, die Sprache zu verstehen.","At first, I had trouble understanding the language."
467,12,"Es war _____ kalt, doch später wurde es wärmer.",anfangs,"Es war anfangs kalt, doch später wurde es wärmer.","It was cold at first, but later it got warmer."
468,12,_____ kannten wir niemanden in der Stadt.,Anfangs,Anfangs kannten wir niemanden in der Stadt.,"At first, we didn’t know anyone in the city."
469,12,"_____ lief das Projekt gut, aber dann gab es Probleme.",Anfangs,"Anfangs lief das Projekt gut, aber dann gab es Probleme.","The project went well at first, but then there were problems."
470,12,_____ ist das Wetter heute perfekt für einen Spaziergang.,Meiner Meinung nach,Meiner Meinung nach ist das Wetter heute perfekt für einen Spaziergang.,"In my opinion, the weather is perfect for a walk today."
471,12,"_____ sollten wir früher losfahren, um den Verkehr zu vermeiden.",Meiner Meinung nach,"Meiner Meinung nach sollten wir früher losfahren, um den Verkehr zu vermeiden.","In my opinion, we should leave earlier to avoid traffic."
472,12,_____ ist dieses Buch sehr spannend und lesenswert.,Meiner Meinung nach,Meiner Meinung nach ist dieses Buch sehr spannend und lesenswert.,"In my opinion, this book is very exciting and worth reading."
473,12,_____ ist Teamarbeit der Schlüssel zum Erfolg.,Meiner Meinung nach,Meiner Meinung nach ist Teamarbeit der Schlüssel zum Erfolg.,"In my opinion, teamwork is the key to success."
474,12,_____ war der Film zu lang und etwas langweilig.,Meiner Meinung nach,Meiner Meinung nach war der Film zu lang und etwas langweilig.,"In my opinion, the film was too long and a bit boring."
475,13,"several times, repeatedly",mehrmals,,
476,13,"at that time, back then",damals,,
477,13,"in the future, from now on",zukünftig,,
478,13,"randomly, by chance",zufällig,,
479,13,actually,eigentlich,,
480,13,normally,normalerweise,,
481,13,"especially, particularly",besonders,,
482,13,this time,diesmal,,
483,13,similarly,ähnlich,,
484,13,"exactly, precisely",genau,,
485,13,hopefully,hoffentlich,,
486,13,for the first time,erstmals,,
487,13,"certainly, surely",sicherlich,,
488,14,"Ich habe ihn _____ angerufen, aber er hat nicht geantwortet.",mehrmals,"Ich habe ihn mehrmals angerufen, aber er hat nicht geantwortet.","I called him several times, but he didn’t answer."
489,14,"_____ am Tag trinke ich Wasser, um genug Flüssigkeit zu haben.",Mehrmals,"Mehrmals am Tag trinke ich Wasser, um genug Flüssigkeit zu haben.","Several times a day, I drink water to stay hydrated."
490,14,Er war schon _____ in Berlin und kennt die Stadt gut.,mehrmals,Er war schon mehrmals in Berlin und kennt die Stadt gut.,He has been to Berlin several times and knows the city well.
491,14,"Sie musste die Aufgabe _____ wiederholen, bevor sie sie verstanden hat.",mehrmals,"Sie musste die Aufgabe mehrmals wiederholen, bevor sie sie verstanden hat.",She had to repeat the task several times before she understood it.
492,14,"Ich habe den Film _____ gesehen, weil er mir so gut gefällt.",mehrmals,"Ich habe den Film mehrmals gesehen, weil er mir so gut gefällt.",I have watched the movie several times because I like it so much.
493,14,"_____ hatte ich noch kein Handy, wir mussten immer telefonzellen benutzen.",Damals,"Damals hatte ich noch kein Handy, wir mussten immer telefonzellen benutzen.","Back then, I didn’t have a mobile phone, we always had to use phone booths."
494,14,"Meine Grosseltern haben mir erzählt, dass das Leben _____ schwieriger war.",damals,"Meine Grosseltern haben mir erzählt, dass das Leben damals schwieriger war.",My grandparents told me that life was more difficult back then.
495,14,"_____ wohnte ich in einer kleinen Stadt, jetzt lebe ich in Berlin.",Damals,"Damals wohnte ich in einer kleinen Stadt, jetzt lebe ich in Berlin.","Back then, I lived in a small town, now I live in Berlin."
496,14,"Er war _____ sehr schüchtern, aber jetzt ist er viel selbstbewusster.",damals,"Er war damals sehr schüchtern, aber jetzt ist er viel selbstbewusster.","He was very shy back then, but now he is much more confident."
497,14,"_____ gab es noch keine sozialen Medien, wir haben Briefe geschrieben.",Damals,"Damals gab es noch keine sozialen Medien, wir haben Briefe geschrieben.","Back then, there were no social media, we wrote letters."
498,14,Ich habe ihn _____ im Supermarkt getroffen.,zufällig,Ich habe ihn zufällig im Supermarkt getroffen.,I ran into him by chance at the supermarket.
499,14,"Zufällig habe ich die richtige Antwort gewählt, obwohl ich sie nicht wusste.",zufällig,"Zufällig habe ich die richtige Antwort gewählt, obwohl ich sie nicht wusste.","By chance, I chose the right answer even though I didn’t know it."
500,14,Wir haben _____ das gleiche Hotel gebucht.,zufällig,Wir haben zufällig das gleiche Hotel gebucht.,We happened to book the same hotel.
501,14,Sie hat _____ ein altes Foto aus ihrer Kindheit gefunden.,zufällig,Sie hat zufällig ein altes Foto aus ihrer Kindheit gefunden.,She accidentally found an old photo from her childhood.
502,14,Zufällig habe ich das neue Café entdeckt und es war großartig.,zufällig,Zufällig habe ich das neue Café entdeckt und es war großartig.,"By chance, I discovered the new café, and it was great."
503,14,_____ möchte ich in einem anderen Land leben.,Zukünftig,Zukünftig möchte ich in einem anderen Land leben.,"In the future, I want to live in another country."
504,14,Die Firma wird _____ mehr in erneuerbare Energien investieren.,zukünftig,Die Firma wird zukünftig mehr in erneuerbare Energien investieren.,The company will invest more in renewable energy in the future.
505,14,_____ werde ich mehr auf meine Gesundheit achten.,Zukünftig,Zukünftig werde ich mehr auf meine Gesundheit achten.,"In the future, I will take better care of my health."
506,14,"Er hofft, dass er _____ weniger Überstunden machen muss.",zukünftig,"Er hofft, dass er zukünftig weniger Überstunden machen muss.",He hopes that he will have to work fewer overtime hours in the future.
507,14,_____ wollen wir unsere Produktion umweltfreundlicher gestalten.,Zukünftig,Zukünftig wollen wir unsere Produktion umweltfreundlicher gestalten.,"In the future, we want to make our production more environmentally friendly."
508,14,"_____ wollte ich ins Kino gehen, aber ich habe keine Zeit.",Eigentlich,"Eigentlich wollte ich ins Kino gehen, aber ich habe keine Zeit.","Actually, I wanted to go to the cinema, but I don't have time."
509,14,"Er ist _____ sehr nett, aber manchmal ein bisschen schüchtern.",eigentlich,"Er ist eigentlich sehr nett, aber manchmal ein bisschen schüchtern.","He is actually very nice, but sometimes a little shy."
510,14,"_____ esse ich kein Fleisch, aber heute mache ich eine Ausnahme.",Eigentlich,"Eigentlich esse ich kein Fleisch, aber heute mache ich eine Ausnahme.","Actually, I don’t eat meat, but today I’m making an exception."
511,14,"Wir wollten _____ nach Italien reisen, aber die Flüge waren zu teuer.",eigentlich,"Wir wollten eigentlich nach Italien reisen, aber die Flüge waren zu teuer.","We actually wanted to travel to Italy, but the flights were too expensive."
512,14,"_____ ist es nicht schwer, aber man muss viel üben.",Eigentlich,"Eigentlich ist es nicht schwer, aber man muss viel üben.","Actually, it’s not difficult, but you have to practice a lot."
513,14,"Ich habe letztes Mal verloren, aber _____ gewinne ich!",diesmal,"Ich habe letztes Mal verloren, aber diesmal gewinne ich!","Last time I lost, but this time I will win!"
514,14,_____ fahren wir mit dem Zug und nicht mit dem Auto.,Diesmal,Diesmal fahren wir mit dem Zug und nicht mit dem Auto.,This time we are taking the train and not the car.
515,14,"Er hat die Prüfung letztes Jahr nicht bestanden, aber _____ hat er sich besser vorbereitet.",diesmal,"Er hat die Prüfung letztes Jahr nicht bestanden, aber diesmal hat er sich besser vorbereitet.","He didn’t pass the exam last year, but this time he prepared better."
516,14,"Wir haben letztes Mal Pizza gegessen, _____ probieren wir etwas Neues.",diesmal,"Wir haben letztes Mal Pizza gegessen, diesmal probieren wir etwas Neues.","Last time we ate pizza, this time we are trying something new."
517,14,"_____ komme ich pünktlich, versprochen!",Diesmal,"Diesmal komme ich pünktlich, versprochen!","This time I will be on time, I promise!"
518,14,"Ich mag viele Sportarten, aber ich spiele _____ gern Tennis.",besonders,"Ich mag viele Sportarten, aber ich spiele besonders gern Tennis.","I like many sports, but I especially enjoy playing tennis."
519,14,Das Essen im Restaurant war _____ lecker.,besonders,Das Essen im Restaurant war besonders lecker.,The food in the restaurant was particularly delicious.
520,14,"Dieses Buch ist _____ interessant für Menschen, die Geschichte mögen.",besonders,"Dieses Buch ist besonders interessant für Menschen, die Geschichte mögen.",This book is especially interesting for people who like history.
521,14,"Er arbeitet _____ hart, um seine Ziele zu erreichen.",besonders,"Er arbeitet besonders hart, um seine Ziele zu erreichen.",He works particularly hard to achieve his goals.
522,14,Das Wetter ist heute _____ schön für einen Spaziergang.,besonders,Das Wetter ist heute besonders schön für einen Spaziergang.,The weather is especially nice today for a walk.
523,14,Diese beiden Autos sehen sich sehr _____.,ähnlich,Diese beiden Autos sehen sich sehr ähnlich.,These two cars look very similar.
524,14,Deutsch ist dem Niederländischen ziemlich _____.,ähnlich,Deutsch ist dem Niederländischen ziemlich ähnlich.,German is quite similar to Dutch.
525,14,Die Situation ist _____ wie letztes Jahr.,ähnlich,Die Situation ist ähnlich wie letztes Jahr.,The situation is similar to last year.
526,14,Ich habe es _____ gemacht.,ähnlich,Ich habe es ähnlich gemacht.,I've done it similarly.
527,14,"Die Zwillinge sehen sich zwar _____, aber sie haben unterschiedliche Persönlichkeiten.",ähnlich,"Die Zwillinge sehen sich zwar ähnlich, aber sie haben unterschiedliche Persönlichkeiten.","The twins may look similar, but they have different personalities."
528,14,_____ stehe ich um sieben Uhr auf.,Normalerweise,Normalerweise stehe ich um sieben Uhr auf.,"Normally, I get up at seven o’clock."
529,14,Er geht _____ nach der Arbeit ins Fitnessstudio.,normalerweise,Er geht normalerweise nach der Arbeit ins Fitnessstudio.,He usually goes to the gym after work.
530,14,Wir essen _____ um 19 Uhr zu Abend.,normalerweise,Wir essen normalerweise um 19 Uhr zu Abend.,We traditionally have dinner at 7 p.m.
531,14,"_____ fahre ich mit dem Fahrrad zur Arbeit, aber heute hat es geregnet.",Normalerweise,"Normalerweise fahre ich mit dem Fahrrad zur Arbeit, aber heute hat es geregnet.","Normally, I ride my bike to work, but today it rained."
532,14,Sie verbringt _____ ihre Wochenenden mit ihrer Familie.,normalerweise,Sie verbringt normalerweise ihre Wochenenden mit ihrer Familie.,She usually spends her weekends with her family.
533,14,"Ich weiß nicht _____, wann das Meeting beginnt.",genau,"Ich weiß nicht genau, wann das Meeting beginnt.",I don’t know exactly when the meeting starts.
534,14,"Kannst du mir _____ erklären, wie das funktioniert?",genau,"Kannst du mir genau erklären, wie das funktioniert?",Can you explain to me precisely how that works?
535,14,Er hat sich _____ an die Anweisungen gehalten.,genau,Er hat sich genau an die Anweisungen gehalten.,He followed the instructions exactly.
536,14,"Die Zahlen müssen _____ überprüft werden, um Fehler zu vermeiden.",genau,"Die Zahlen müssen genau überprüft werden, um Fehler zu vermeiden.",The numbers must be checked precisely to avoid mistakes.
537,14,_____ das wollte ich auch sagen!,Genau,Genau das wollte ich auch sagen!,That’s exactly what I wanted to say!
538,14,_____ wird das Wetter morgen besser.,Hoffentlich,Hoffentlich wird das Wetter morgen besser.,"Hopefully, the weather will be better tomorrow."
539,14,"Er hat hart für die Prüfung gelernt, _____ besteht er sie.",hoffentlich,"Er hat hart für die Prüfung gelernt, hoffentlich besteht er sie.","He studied hard for the exam; hopefully, he will pass it."
540,14,_____ können wir uns bald wiedersehen.,Hoffentlich,Hoffentlich können wir uns bald wiedersehen.,"Hopefully, we can see each other again soon."
541,14,"Sie hat sich beworben, _____ bekommt sie den Job.",hoffentlich,"Sie hat sich beworben, hoffentlich bekommt sie den Job.","She applied for the job; hopefully, she will get it."
542,14,_____ gibt es keinen Stau auf der Autobahn.,Hoffentlich,Hoffentlich gibt es keinen Stau auf der Autobahn.,"Hopefully, there won’t be any traffic on the highway."
543,14,Er hat sich _____ für einen Marathon angemeldet.,erstmals,Er hat sich erstmals für einen Marathon angemeldet.,He has signed up for a marathon for the first time.
544,14,Das Unternehmen präsentiert seine neue Technologie _____ auf der Messe.,erstmals,Das Unternehmen präsentiert seine neue Technologie erstmals auf der Messe.,The company is presenting its new technology for the first time at the trade fair.
545,14,Sie reist _____ alleine ins Ausland.,erstmals,Sie reist erstmals alleine ins Ausland.,She is traveling abroad alone for the first time.
546,14,Der Film wurde _____ im Jahr 2020 gezeigt.,erstmals,Der Film wurde erstmals im Jahr 2020 gezeigt.,The movie was shown for the first time in 2020.
547,14,Ich habe ihn _____ auf einer Konferenz getroffen.,erstmals,Ich habe ihn erstmals auf einer Konferenz getroffen.,I met him for the first time at a conference.
548,14,Er wird sich _____ über das Geschenk freuen.,sicherlich,Er wird sich sicherlich über das Geschenk freuen.,He will certainly be happy about the gift.
549,14,"Das ist _____ die beste Entscheidung, die du treffen kannst.",sicherlich,"Das ist sicherlich die beste Entscheidung, die du treffen kannst.",That is certainly the best decision you can make.
550,14,"Es wird _____ eine Weile dauern, bis wir eine Lösung finden.",sicherlich,"Es wird sicherlich eine Weile dauern, bis wir eine Lösung finden.",It will surely take a while until we find a solution.
551,14,Sie hat sich _____ gut auf die Prüfung vorbereitet.,sicherlich,Sie hat sich sicherlich gut auf die Prüfung vorbereitet.,She has certainly prepared well for the exam.
552,14,Diese Reise wird _____ eine unvergessliche Erfahrung sein.,sicherlich,Diese Reise wird sicherlich eine unvergessliche Erfahrung sein.,This trip will surely be an unforgettable experience.
553,15,at the latest,spätestens,,
554,15,at the earliest,frühestens,,
555,15,"and so forth, etc.",und so weiter,,
556,15,"hardly, barely",kaum,,
557,15,easily,leicht,,
558,15,"clearly, significantly",deutlich,,
559,15,politely,höflich,,
560,15,fortunately,glücklicherweise,,
561,15,additionally,zusätzlich,,
562,15,everywhere,überall,,
563,15,in the middle,mitten,,
564,15,positively,positiv,,
565,15,negatively,negativ,,
566,16,Wir können _____ nächste Woche mit dem Projekt beginnen.,frühestens,Wir können frühestens nächste Woche mit dem Projekt beginnen.,We can start the project at the earliest next week.
567,16,Der Arzttermin ist _____ in zwei Wochen verfügbar.,frühestens,Der Arzttermin ist frühestens in zwei Wochen verfügbar.,The doctor’s appointment is available at the earliest in two weeks.
568,16,Ich werde dich _____ um 18 Uhr anrufen.,frühestens,Ich werde dich frühestens um 18 Uhr anrufen.,I will call you at the earliest at 6 p.m.
569,16,Die Lieferung kommt _____ am Montag an.,frühestens,Die Lieferung kommt frühestens am Montag an.,The delivery will arrive at the earliest on Monday.
570,16,Er kann _____ in einem Jahr befördert werden.,frühestens,Er kann frühestens in einem Jahr befördert werden.,He can be promoted at the earliest in a year.
571,16,Bitte senden Sie das Dokument _____ bis Freitag zurück.,spätestens,Bitte senden Sie das Dokument spätestens bis Freitag zurück.,Please return the document by Friday at the latest.
572,16,Wir müssen _____ um 10 Uhr am Flughafen sein.,spätestens,Wir müssen spätestens um 10 Uhr am Flughafen sein.,We must be at the airport by 10 a.m. at the latest.
573,16,_____ nach dem dritten Versuch sollte es funktionieren.,Spätestens,Spätestens nach dem dritten Versuch sollte es funktionieren.,It should work at the latest after the third attempt.
574,16,Die Anmeldung muss _____ eine Woche vor dem Kursbeginn erfolgen.,spätestens,Die Anmeldung muss spätestens eine Woche vor dem Kursbeginn erfolgen.,Registration must be completed at the latest one week before the course starts.
575,16,_____ nach der Prüfung werde ich Urlaub machen.,Spätestens,Spätestens nach der Prüfung werde ich Urlaub machen.,"At the latest after the exam, I will go on vacation."
576,16,"Auf meiner Reise besuchte ich viele Städte: Berlin, Hamburg, München _____.",und so weiter,"Auf meiner Reise besuchte ich viele Städte: Berlin, Hamburg, München und so weiter.","On my trip, I visited many cities: Berlin, Hamburg, Munich, and so on."
577,16,"Wir müssen noch einige Dinge erledigen: einkaufen, aufräumen, kochen _____.",und so weiter,"Wir müssen noch einige Dinge erledigen: einkaufen, aufräumen, kochen und so weiter.","We still have to do some things: shopping, cleaning, cooking, and so on."
578,16,"Im Museum gibt es viele berühmte Gemälde von Van Gogh, Picasso, Monet _____.",und so weiter,"Im Museum gibt es viele berühmte Gemälde von Van Gogh, Picasso, Monet und so weiter.","In the museum, there are many famous paintings by Van Gogh, Picasso, Monet, and so on."
579,16,"Sie liebt Sportarten wie Fußball, Tennis, Basketball _____.",und so weiter,"Sie liebt Sportarten wie Fußball, Tennis, Basketball und so weiter.","She loves sports like football, tennis, basketball, and so on."
580,16,"Bei der Prüfung mussten wir viele Themen bearbeiten: Grammatik, Wortschatz, Hörverstehen _____.",und so weiter,"Bei der Prüfung mussten wir viele Themen bearbeiten: Grammatik, Wortschatz, Hörverstehen und so weiter.","In the exam, we had to cover many topics: grammar, vocabulary, listening comprehension, and so on."
581,16,"Ich habe heute so viel gearbeitet, dass ich _____ noch Energie habe.",kaum,"Ich habe heute so viel gearbeitet, dass ich kaum noch Energie habe.",I worked so much today that I barely have any energy left.
582,16,"Er spricht so leise, dass ich ihn _____ verstehen kann.",kaum,"Er spricht so leise, dass ich ihn kaum verstehen kann.",He speaks so quietly that I can hardly understand him.
583,16,"Sie hatte _____ Zeit, sich auf die Prüfung vorzubereiten.",kaum,"Sie hatte kaum Zeit, sich auf die Prüfung vorzubereiten.",She had hardly any time to prepare for the exam.
584,16,"Nach dem langen Winter konnte man _____ glauben, dass es endlich Frühling wurde.",kaum,"Nach dem langen Winter konnte man kaum glauben, dass es endlich Frühling wurde.","After the long winter, it was hard to believe that it was finally spring."
585,16,"Es war so dunkel, dass ich _____ etwas sehen konnte.",kaum,"Es war so dunkel, dass ich kaum etwas sehen konnte.",It was so dark that I could barely see anything.
586,16,Er konnte die Aufgabe _____ lösen.,leicht,Er konnte die Aufgabe leicht lösen.,He could solve the task easily.
587,16,Das Kind hat die Kiste _____ getragen.,leicht,Das Kind hat die Kiste leicht getragen.,The child carried the box easily.
588,16,Ich konnte mich _____ an die neue Umgebung gewöhnen.,leicht,Ich konnte mich leicht an die neue Umgebung gewöhnen.,I could easily get used to the new environment.
589,16,Sie hat das Problem _____ verstanden.,leicht,Sie hat das Problem leicht verstanden.,She understood the problem easily.
590,16,Wir haben das Ziel _____ erreicht.,leicht,Wir haben das Ziel leicht erreicht.,We reached the goal easily.
591,16,"Seine Aussprache ist _____ besser geworden, seitdem er regelmäßig übt.",deutlich,"Seine Aussprache ist deutlich besser geworden, seitdem er regelmäßig übt.",His pronunciation has clearly improved since he practices regularly.
592,16,"Die Zahlen zeigen _____, dass das Unternehmen wächst.",deutlich,"Die Zahlen zeigen deutlich, dass das Unternehmen wächst.",The numbers clearly show that the company is growing.
593,16,"Bitte sprich etwas _____er, ich kann dich kaum verstehen.",deutlich,"Bitte sprich etwas deutlicher, ich kann dich kaum verstehen.","Please speak a little more clearly, I can hardly understand you."
594,16,Der Unterschied zwischen den beiden Modellen ist _____ sichtbar.,deutlich,Der Unterschied zwischen den beiden Modellen ist deutlich sichtbar.,The difference between the two models is clearly visible.
595,16,Sein Verhalten hat sich in den letzten Monaten _____ verändert.,deutlich,Sein Verhalten hat sich in den letzten Monaten deutlich verändert.,His behavior has changed significantly in the last few months.
596,16,Er fragte _____ nach dem Weg zum Bahnhof.,höflich,Er fragte höflich nach dem Weg zum Bahnhof.,He politely asked for directions to the train station.
597,16,Sie bat den Kellner _____ um die Rechnung.,höflich,Sie bat den Kellner höflich um die Rechnung.,She politely asked the waiter for the bill.
598,16,"Wenn du _____ sprichst, bekommst du eher eine positive Antwort.",höflich,"Wenn du höflich sprichst, bekommst du eher eine positive Antwort.","If you speak politely, you are more likely to receive a positive response."
599,16,"Er hat _____ abgelehnt, weil er keine Zeit hatte.",höflich,"Er hat höflich abgelehnt, weil er keine Zeit hatte.",He politely declined because he didn’t have time.
600,16,Die Gäste wurden _____ begrüßt und an ihre Plätze geführt.,höflich,Die Gäste wurden höflich begrüßt und an ihre Plätze geführt.,The guests were politely greeted and led to their seats.
601,16,"_____ hat es aufgehört zu regnen, bevor das Konzert begann.",Glücklicherweise,"Glücklicherweise hat es aufgehört zu regnen, bevor das Konzert begann.","Fortunately, it stopped raining before the concert started."
602,16,"Ich hatte meinen Schlüssel verloren, aber _____ hatte mein Nachbar einen Ersatzschlüssel.",glücklicherweise,"Ich hatte meinen Schlüssel verloren, aber glücklicherweise hatte mein Nachbar einen Ersatzschlüssel.","I had lost my key, but fortunately, my neighbor had a spare key."
603,16,_____ war niemand verletzt nach dem Unfall.,Glücklicherweise,Glücklicherweise war niemand verletzt nach dem Unfall.,"Fortunately, no one was injured after the accident."
604,16,"Er kam zu spät zum Flughafen, aber _____ hatte sein Flug Verspätung.",glücklicherweise,"Er kam zu spät zum Flughafen, aber glücklicherweise hatte sein Flug Verspätung.","He arrived late at the airport, but fortunately, his flight was delayed."
605,16,"Wir haben uns verlaufen, aber _____ hat uns ein Einheimischer geholfen.",glücklicherweise,"Wir haben uns verlaufen, aber glücklicherweise hat uns ein Einheimischer geholfen.","We got lost, but fortunately, a local helped us."
606,16,Ich arbeite als Lehrer und _____ gebe ich Nachhilfe.,zusätzlich,Ich arbeite als Lehrer und zusätzlich gebe ich Nachhilfe.,"I work as a teacher, and additionally, I give tutoring lessons."
