Nr,exercise,question,answer,german,english,case
204,9,"Eine grosse Stadt bietet viele Möglichkeiten, _____ kann es dort sehr laut sein.",andererseits,"Eine grosse Stadt bietet viele Möglichkeiten, andererseits kann es dort sehr laut sein.","A big city offers many opportunities; on the other hand, it can be very noisy there.",
205,9,"Ich würde gerne umziehen, _____ ist meine Wohnung sehr günstig.",andererseits,"Ich würde gerne umziehen, andererseits ist meine Wohnung sehr günstig.","I would like to move; on the other hand, my apartment is very affordable.",
206,9,"Ich mag Tee sehr gerne, mein Bruder _____ trinkt nur Kaffee.",dagegen,"Ich mag Tee sehr gerne, mein Bruder dagegen trinkt nur Kaffee.","I like tea very much; my brother, on the other hand, only drinks coffee.",
207,9,"Sie liebt es, früh aufzustehen, ihr Mann _____ schläft gerne lange.",dagegen,"Sie liebt es, früh aufzustehen, ihr Mann dagegen schläft gerne lange.","She loves getting up early; her husband, on the other hand, likes to sleep in.",
208,9,"Das Wetter ist heute sonnig, gestern war es _____ sehr regnerisch.",dagegen,"Das Wetter ist heute sonnig, gestern war es dagegen sehr regnerisch.","The weather is sunny today; yesterday, in contrast, it was very rainy.",
209,9,"Er ist sehr sportlich, seine Schwester _____ interessiert sich nicht für Sport.",dagegen,"Er ist sehr sportlich, seine Schwester dagegen interessiert sich nicht für Sport.","He is very athletic; his sister, on the other hand, is not interested in sports.",
210,9,"Ich bevorzuge ruhige Orte, meine Freunde _____ lieben große Partys.",dagegen,"Ich bevorzuge ruhige Orte, meine Freunde dagegen lieben große Partys.","I prefer quiet places; my friends, on the other hand, love big parties.",
211,9,Wir können _____ ins Kino gehen oder zu Hause einen Film schauen.,entweder,Wir können entweder ins Kino gehen oder zu Hause einen Film schauen.,We can either go to the cinema or watch a movie at home.,
212,9,"_____ du kommst pünktlich, oder wir starten ohne dich.",Entweder,"Entweder du kommst pünktlich, oder wir starten ohne dich.","Either you arrive on time, or we will start without you.",
213,9,Sie wird _____ in Berlin studieren oder nach Hamburg ziehen.,entweder,Sie wird entweder in Berlin studieren oder nach Hamburg ziehen.,She will either study in Berlin or move to Hamburg.,
214,9,"_____ du lernst fleißig, oder du wirst die Prüfung nicht bestehen.",Entweder,"Entweder du lernst fleißig, oder du wirst die Prüfung nicht bestehen.","Either you study hard, or you won’t pass the exam.",
215,9,Wir können _____ mit dem Auto fahren oder den Zug nehmen.,entweder,Wir können entweder mit dem Auto fahren oder den Zug nehmen.,We can either go by car or take the train.,
216,9,Ich trinke _____ Kaffee noch Tee.,weder,Ich trinke weder Kaffee noch Tee.,I drink neither coffee nor tea.,
217,9,Er mag _____ klassische Musik noch Pop.,weder,Er mag weder klassische Musik noch Pop.,He likes neither classical music nor pop.,
218,9,Sie spricht _____ Spanisch noch Italienisch.,weder,Sie spricht weder Spanisch noch Italienisch.,She speaks neither Spanish nor Italian.,
219,9,Das Hotel war _____ sauber noch günstig.,weder,Das Hotel war weder sauber noch günstig.,The hotel was neither clean nor affordable.,
220,9,Wir haben _____ Zeit noch Geld für eine Reise.,weder,Wir haben weder Zeit noch Geld für eine Reise.,We have neither time nor money for a trip.,
221,9,Er interessiert sich weder für Sport _____ für Kunst.,noch,Er interessiert sich weder für Sport noch für Kunst.,He is interested in neither sports nor art.,
222,9,Ich kann weder tanzen _____ singen.,noch,Ich kann weder tanzen noch singen.,I can neither dance nor sing.,
223,9,Die Aufgabe war weder einfach _____ schnell erledigt.,noch,Die Aufgabe war weder einfach noch schnell erledigt.,The task was neither easy nor quickly done.,
224,9,Weder mein Bruder _____ meine Schwester konnten kommen.,noch,Weder mein Bruder noch meine Schwester konnten kommen.,Neither my brother nor my sister could come.,
225,9,Dieses Buch ist weder spannend _____ informativ.,noch,Dieses Buch ist weder spannend noch informativ.,This book is neither exciting nor informative.,
226,9,"_____ mehr du lernst, desto besser wirst du die Sprache verstehen.",Je,"Je mehr du lernst, desto besser wirst du die Sprache verstehen.","The more you study, the better you will understand the language.",
227,9,"_____ früher wir losfahren, desto schneller kommen wir an.",Je,"Je früher wir losfahren, desto schneller kommen wir an.","The earlier we leave, the faster we will arrive.",
228,9,"_____ länger du wartest, desto schwieriger wird es, eine Entscheidung zu treffen.",Je,"Je länger du wartest, desto schwieriger wird es, eine Entscheidung zu treffen.","The longer you wait, the harder it will be to make a decision.",
229,9,"_____ mehr Geld du sparst, desto mehr kannst du dir später leisten.",Je,"Je mehr Geld du sparst, desto mehr kannst du dir später leisten.","The more money you save, the more you can afford later.",
230,9,"_____ öfter du übst, desto sicherer wirst du im Sprechen.",Je,"Je öfter du übst, desto sicherer wirst du im Sprechen.","The more often you practice, the more confident you will become in speaking.",
231,9,"Je kälter es draußen ist, _____ mehr ziehe ich warme Kleidung an.",desto,"Je kälter es draußen ist, desto mehr ziehe ich warme Kleidung an.","The colder it is outside, the more warm clothing I wear.",
232,9,"Je gesünder du isst, _____ besser fühlst du dich.",desto,"Je gesünder du isst, desto besser fühlst du dich.","The healthier you eat, the better you feel.",
233,9,"Je mehr Erfahrung du hast, _____ einfacher wird der Job.",desto,"Je mehr Erfahrung du hast, desto einfacher wird der Job.","The more experience you have, the easier the job will be.",
234,9,"Je lauter die Musik ist, _____ schlechter kann ich mich konzentrieren.",desto,"Je lauter die Musik ist, desto schlechter kann ich mich konzentrieren.","The louder the music is, the harder it is for me to concentrate.",
235,9,"Je länger wir arbeiten, _____ müder werden wir.",desto,"Je länger wir arbeiten, desto müder werden wir.","The longer we work, the more tired we become.",
236,9,Er spricht _____ Deutsch als auch Englisch fließend.,sowohl,Er spricht sowohl Deutsch als auch Englisch fließend.,He speaks both German and English fluently.,
237,9,_____ das Design als auch die Funktionalität des neuen Smartphones sind beeindruckend.,Sowohl,Sowohl das Design als auch die Funktionalität des neuen Smartphones sind beeindruckend.,Both the design and the functionality of the new smartphone are impressive.,
238,9,Sie interessiert sich _____ für Kunst als auch für Wissenschaft.,sowohl,Sie interessiert sich sowohl für Kunst als auch für Wissenschaft.,She is interested in both art and science.,
239,9,Die Firma legt Wert auf _____ nachhaltige als auch effiziente Produktionsmethoden.,sowohl,Die Firma legt Wert auf sowohl nachhaltige als auch effiziente Produktionsmethoden.,The company values both sustainable and efficient production methods.,
240,9,Dieses Hotel bietet _____ einen Pool als auch ein Fitnessstudio für seine Gäste.,sowohl,Dieses Hotel bietet sowohl einen Pool als auch ein Fitnessstudio für seine Gäste.,This hotel offers both a pool and a gym for its guests.,
241,9,Die Konferenz behandelt sowohl aktuelle _____ zukünftige wirtschaftliche Herausforderungen.,als auch,Die Konferenz behandelt sowohl aktuelle als auch zukünftige wirtschaftliche Herausforderungen.,The conference addresses both current and future economic challenges.,
242,9,Er ist sowohl ein talentierter Musiker _____ ein erfolgreicher Unternehmer.,als auch,Er ist sowohl ein talentierter Musiker als auch ein erfolgreicher Unternehmer.,He is both a talented musician and a successful entrepreneur.,
243,9,Das neue Gesetz betrifft sowohl Arbeitnehmer _____ Arbeitgeber gleichermaßen.,als auch,Das neue Gesetz betrifft sowohl Arbeitnehmer als auch Arbeitgeber gleichermaßen.,The new law affects both employees and employers equally.,
244,9,Das Wetter war sowohl sonnig _____ angenehm warm während unseres Urlaubs.,als auch,Das Wetter war sowohl sonnig als auch angenehm warm während unseres Urlaubs.,The weather was both sunny and pleasantly warm during our vacation.,
245,9,Sie hat sowohl theoretische _____ praktische Erfahrungen in diesem Bereich gesammelt.,als auch,Sie hat sowohl theoretische als auch praktische Erfahrungen in diesem Bereich gesammelt.,She has gained both theoretical and practical experience in this field.,
246,9,"Er spricht _____ Deutsch, sondern auch Spanisch fließend.",nicht nur,"Er spricht nicht nur Deutsch, sondern auch Spanisch fließend.",He speaks not only German but also Spanish fluently.,
247,9,"Das neue Auto ist _____ schnell, sondern auch umweltfreundlich.",nicht nur,"Das neue Auto ist nicht nur schnell, sondern auch umweltfreundlich.",The new car is not only fast but also environmentally friendly.,
248,9,"Sie ist _____ eine talentierte Musikerin, sondern auch eine erfolgreiche Schriftstellerin.",nicht nur,"Sie ist nicht nur eine talentierte Musikerin, sondern auch eine erfolgreiche Schriftstellerin.",She is not only a talented musician but also a successful writer.,
249,9,"Diese Stadt ist _____ historisch interessant, sondern auch kulturell vielfältig.",nicht nur,"Diese Stadt ist nicht nur historisch interessant, sondern auch kulturell vielfältig.",This city is not only historically interesting but also culturally diverse.,
250,9,"Die Firma investiert _____ in Technologie, sondern auch in nachhaltige Entwicklung.",nicht nur,"Die Firma investiert nicht nur in Technologie, sondern auch in nachhaltige Entwicklung.",The company invests not only in technology but also in sustainable development.,
251,9,"Er hat nicht nur die Prüfung bestanden, _____ die beste Note erhalten.",sondern auch,"Er hat nicht nur die Prüfung bestanden, sondern auch die beste Note erhalten.",He not only passed the exam but also got the best grade.,
252,9,"Das neue Restaurant bietet nicht nur leckeres Essen, _____ einen exzellenten Service.",sondern auch,"Das neue Restaurant bietet nicht nur leckeres Essen, sondern auch einen exzellenten Service.",The new restaurant offers not only delicious food but also excellent service.,
253,9,"Nicht nur das Wetter war perfekt, _____ die Atmosphäre am Strand war großartig.",sondern auch,"Nicht nur das Wetter war perfekt, sondern auch die Atmosphäre am Strand war großartig.","Not only was the weather perfect, but the atmosphere at the beach was also great.",
254,9,"Sie arbeitet nicht nur hart in ihrem Job, _____ zu Hause",sondern auch,"Sie arbeitet nicht nur hart in ihrem Job, sondern auch zu Hause","She does not only work hard at her job, but also at home",
255,9,"Das Training verbessert nicht nur die körperliche Fitness, _____ die mentale Stärke.",sondern auch,"Das Training verbessert nicht nur die körperliche Fitness, sondern auch die mentale Stärke.",The training improves not only physical fitness but also mental strength.,
256,10,for this purpose,zu diesem Zweck,,,Adverb
257,10,in this way,auf diese Weise,,,Adverb
258,10,instead,stattdessen,,,Adverb
259,10,even if,auch wenn,,,Subjunktion
260,10,"everytime, whenever",immer wenn,,,Subjunktion
261,10,"meanwhile, in the meantime, by now",währenddessen,,,Adverb
262,10,whereas,wohingegen,,,Subjunktion
263,10,"consequently, as a result, thereupon",folglich,,,Adverb
264,10,"as long as, so long as",solange,,,Subjunktion
265,10,"as soon as, whenever",sobald,,,Subjunktion
266,10,"by, due to the fact that",dadurch dass,,,Zwei Begriffe
267,11,Wir brauchen mehr Informationen; _____ werden wir eine Umfrage durchführen.,zu diesem Zweck,Wir brauchen mehr Informationen; zu diesem Zweck werden wir eine Umfrage durchführen.,"We need more information; for this purpose, we will conduct a survey.",
268,11,"Die Firma hat ein neues Team eingestellt, _____ wurde ein spezielles Budget bereitgestellt.",zu diesem Zweck,"Die Firma hat ein neues Team eingestellt, zu diesem Zweck wurde ein spezielles Budget bereitgestellt.","The company hired a new team; for this purpose, a special budget was allocated.",
269,11,"_____ haben wir eine Präsentation vorbereitet, um alle Fragen zu klären.",Zu diesem Zweck,"Zu diesem Zweck haben wir eine Präsentation vorbereitet, um alle Fragen zu klären.","For this purpose, we prepared a presentation to address all questions.",
270,11,"Er hat extra einen Kurs besucht, _____ hat er seine Abende frei gehalten.",zu diesem Zweck,"Er hat extra einen Kurs besucht, zu diesem Zweck hat er seine Abende frei gehalten.",He attended a course specifically for this purpose and kept his evenings free.,
271,11,"_____ wurde ein ausführlicher Bericht erstellt, der alle Details enthält.",Zu diesem Zweck,"Zu diesem Zweck wurde ein ausführlicher Bericht erstellt, der alle Details enthält.","For this purpose, a detailed report was created that contains all the details.",
272,11,Wir haben die Daten analysiert und _____ die Fehler gefunden.,auf diese Weise,Wir haben die Daten analysiert und auf diese Weise die Fehler gefunden.,We analyzed the data and found the errors in this way.,
273,11,"_____ können wir sicherstellen, dass das Projekt erfolgreich abgeschlossen wird.",Auf diese Weise,"Auf diese Weise können wir sicherstellen, dass das Projekt erfolgreich abgeschlossen wird.","In this way, we can ensure that the project is successfully completed.",
274,11,Er hat viel geübt und _____ seine Fähigkeiten verbessert.,auf diese Weise,Er hat viel geübt und auf diese Weise seine Fähigkeiten verbessert.,He practiced a lot and improved his skills in this way.,
275,11,Die Probleme wurden diskutiert und _____ gelöst.,auf diese Weise,Die Probleme wurden diskutiert und auf diese Weise gelöst.,The problems were discussed and solved in this way.,
276,11,"_____ lernen die Schüler, selbstständig zu arbeiten.",Auf diese Weise,"Auf diese Weise lernen die Schüler, selbstständig zu arbeiten.","In this way, the students learn to work independently.",
277,11,"Ich gehe joggen, _____ es regnet.",auch wenn,"Ich gehe joggen, auch wenn es regnet.",I go jogging even if it rains.,
278,11,"Er kommt zur Besprechung, _____ er keine Lust hat.",auch wenn,"Er kommt zur Besprechung, auch wenn er keine Lust hat.",He comes to the meeting even if he doesn’t feel like it.,
279,11,"Sie fährt mit dem Fahrrad, _____ der Weg lang ist.",auch wenn,"Sie fährt mit dem Fahrrad, auch wenn der Weg lang ist.",She rides her bike even if the way is long.,
280,11,"Wir machen Urlaub, _____ das Wetter schlecht ist.",auch wenn,"Wir machen Urlaub, auch wenn das Wetter schlecht ist.",We go on vacation even if the weather is bad.,
281,11,"Ich esse das Gericht, _____ ich es nicht mag.",auch wenn,"Ich esse das Gericht, auch wenn ich es nicht mag.",I eat the dish even if I don’t like it.,
282,11,"Ich wollte ins Kino gehen, _____ habe ich zu Hause einen Film geschaut.",stattdessen,"Ich wollte ins Kino gehen, stattdessen habe ich zu Hause einen Film geschaut.","I wanted to go to the cinema; instead, I watched a movie at home.",
283,11,"Er hat das teure Auto nicht gekauft, _____ hat er sich für ein günstigeres Modell entschieden.",stattdessen,"Er hat das teure Auto nicht gekauft, stattdessen hat er sich für ein günstigeres Modell entschieden.","He didn’t buy the expensive car; instead, he chose a cheaper model.",
284,11,"Sie wollte kochen, _____ hat sie Essen bestellt.",stattdessen,"Sie wollte kochen, stattdessen hat sie Essen bestellt.","She wanted to cook; instead, she ordered food.",
285,11,"Wir wollten spazieren gehen, aber es hat geregnet; _____ haben wir ein Café besucht.",stattdessen,"Wir wollten spazieren gehen, aber es hat geregnet; stattdessen haben wir ein Café besucht.","We wanted to go for a walk, but it rained; instead, we visited a café.",
286,11,"Er hatte keine Lust zu lernen, _____ hat er Videospiele gespielt.",stattdessen,"Er hatte keine Lust zu lernen, stattdessen hat er Videospiele gespielt.","He didn’t feel like studying; instead, he played video games.",
287,11,"Er hat nicht für die Prüfung gelernt, _____ hat er sie nicht bestanden.",folglich,"Er hat nicht für die Prüfung gelernt, folglich hat er sie nicht bestanden.","He didn’t study for the exam; consequently, he didn’t pass it.",
288,11,"Es gab einen Unfall auf der Autobahn, _____ hatten wir eine lange Verspätung.",folglich,"Es gab einen Unfall auf der Autobahn, folglich hatten wir eine lange Verspätung.","There was an accident on the highway; consequently, we had a long delay.",
289,11,"Sie hat jahrelang in Frankreich gelebt, _____ spricht sie fließend Französisch.",folglich,"Sie hat jahrelang in Frankreich gelebt, folglich spricht sie fließend Französisch.","She has lived in France for years; consequently, she speaks fluent French.",
290,11,"Er war krank, _____ konnte er nicht zur Arbeit gehen.",folglich,"Er war krank, folglich konnte er nicht zur Arbeit gehen.","He was sick; therefore, he couldn’t go to work.",
291,11,"Das Produkt war fehlerhaft, _____ mussten wir es zurücksenden.",folglich,"Das Produkt war fehlerhaft, folglich mussten wir es zurücksenden.","The product was defective; consequently, we had to return it.",
292,11,"_____ ich dieses Lied höre, denke ich an meine Kindheit.",Immer wenn,"Immer wenn ich dieses Lied höre, denke ich an meine Kindheit.","Whenever I hear this song, I think of my childhood.",
293,11,"Er ist glücklich, _____ er seine Freunde trifft.",immer wenn,"Er ist glücklich, immer wenn er seine Freunde trifft.",He is happy whenever he meets his friends.,
294,11,"_____ es regnet, nehme ich meinen Regenschirm mit.",Immer wenn,"Immer wenn es regnet, nehme ich meinen Regenschirm mit.","Whenever it rains, I take my umbrella with me.",
295,11,"Wir gehen spazieren, _____ das Wetter schön ist.",immer wenn,"Wir gehen spazieren, immer wenn das Wetter schön ist.",We go for a walk whenever the weather is nice.,
296,11,"_____ sie nervös ist, spricht sie besonders schnell.",Immer wenn,"Immer wenn sie nervös ist, spricht sie besonders schnell.","Whenever she is nervous, she speaks particularly fast.",
297,11,"_____ ich zu Hause bin, rufe ich dich an.",Sobald,"Sobald ich zu Hause bin, rufe ich dich an.","As soon as I get home, I will call you.",
298,11,"Er wird mit dem Projekt beginnen, _____ er alle Informationen hat.",sobald,"Er wird mit dem Projekt beginnen, sobald er alle Informationen hat.",He will start the project as soon as he has all the information.,
299,11,"_____ das Wetter besser wird, machen wir einen Ausflug.",Sobald,"Sobald das Wetter besser wird, machen wir einen Ausflug.","As soon as the weather gets better, we will go on a trip.",
300,11,"Ich werde dich besuchen, _____ ich Zeit habe.",sobald,"Ich werde dich besuchen, sobald ich Zeit habe.",I will visit you as soon as I have time.,
301,11,"_____ sie die E-Mail gelesen hat, wird sie antworten.",Sobald,"Sobald sie die E-Mail gelesen hat, wird sie antworten.","As soon as she has read the email, she will reply.",
302,11,"Er liebt Abenteuerreisen, _____ seine Frau lieber am Strand entspannt.",wohingegen,"Er liebt Abenteuerreisen, wohingegen seine Frau lieber am Strand entspannt.","He loves adventure travel, whereas his wife prefers relaxing on the beach.",
303,11,"Das eine Hotel war sehr teuer, _____ das andere viel günstiger war.",wohingegen,"Das eine Hotel war sehr teuer, wohingegen das andere viel günstiger war.","One hotel was very expensive, whereas the other one was much cheaper.",
304,11,"Ich mag moderne Kunst, _____ mein Bruder klassische Malerei bevorzugt.",wohingegen,"Ich mag moderne Kunst, wohingegen mein Bruder klassische Malerei bevorzugt.","I like modern art, whereas my brother prefers classical painting.",
305,11,"Sie arbeitet gerne im Team, _____ er lieber alleine arbeitet.",wohingegen,"Sie arbeitet gerne im Team, wohingegen er lieber alleine arbeitet.","She enjoys working in a team, whereas he prefers to work alone.",
306,11,"Ich bin gerne aktiv im Urlaub, _____ meine Freunde nur entspannen wollen.",wohingegen,"Ich bin gerne aktiv im Urlaub, wohingegen meine Freunde nur entspannen wollen.","I like to be active on vacation, whereas my friends just want to relax.",
307,11,"Du kannst hier bleiben, _____ du möchtest.",solange,"Du kannst hier bleiben, solange du möchtest.",You can stay here as long as you want.,
308,11,"_____ das Wetter schön ist, gehen wir jeden Tag spazieren.",Solange,"Solange das Wetter schön ist, gehen wir jeden Tag spazieren.","As long as the weather is nice, we go for a walk every day.",
309,11,"Er wird helfen, _____ er Zeit hat.",solange,"Er wird helfen, solange er Zeit hat.",He will help as long as he has time.,
310,11,"_____ du fleißig lernst, wirst du die Prüfung bestehen.",Solange,"Solange du fleißig lernst, wirst du die Prüfung bestehen.","As long as you study diligently, you will pass the exam.",
311,11,"Wir bleiben draußen, _____ es nicht regnet.",solange,"Wir bleiben draußen, solange es nicht regnet.",We will stay outside as long as it doesn’t rain.,
312,11,"Ich habe das Abendessen vorbereitet, _____ hat er den Tisch gedeckt.",währenddessen,"Ich habe das Abendessen vorbereitet, währenddessen hat er den Tisch gedeckt.","I prepared dinner; meanwhile, he set the table.",
313,11,"Sie war im Meeting, _____ habe ich die Präsentation fertiggestellt.",währenddessen,"Sie war im Meeting, währenddessen habe ich die Präsentation fertiggestellt.","She was in the meeting; meanwhile, I finished the presentation.",
314,11,"Das Auto wurde repariert, _____ haben wir einen Kaffee getrunken.",währenddessen,"Das Auto wurde repariert, währenddessen haben wir einen Kaffee getrunken.","The car was being repaired; in the meantime, we had a coffee.",
315,11,"Der Lehrer hat die Hausaufgaben erklärt, _____ haben die Schüler Notizen gemacht.",währenddessen,"Der Lehrer hat die Hausaufgaben erklärt, währenddessen haben die Schüler Notizen gemacht.","The teacher explained the homework; meanwhile, the students took notes.",
316,11,"Die Bauarbeiten gingen weiter, _____ blieben die Geschäfte geöffnet.",währenddessen,"Die Bauarbeiten gingen weiter, währenddessen blieben die Geschäfte geöffnet.","The construction work continued; meanwhile, the shops remained open.",
317,11,"Er hat seine Sprachkenntnisse _____ verbessert, dass er jeden Tag Deutsch gesprochen hat.",dadurch,"Er hat seine Sprachkenntnisse dadurch verbessert, dass er jeden Tag Deutsch gesprochen hat.",He improved his language skills by speaking German every day.,
318,11,"Das Unternehmen konnte Kosten _____ senken, dass es auf erneuerbare Energien umgestellt hat.",dadurch,"Das Unternehmen konnte Kosten dadurch senken, dass es auf erneuerbare Energien umgestellt hat.",The company was able to reduce costs by switching to renewable energy.,
319,11,"Die Umwelt wurde _____ geschont, dass weniger Plastik verwendet wurde.",dadurch,"Die Umwelt wurde dadurch geschont, dass weniger Plastik verwendet wurde.",The environment was preserved by using less plastic.,
320,11,"Sie hat die Prüfung _____ bestanden, dass sie intensiv gelernt hat.",dadurch,"Sie hat die Prüfung dadurch bestanden, dass sie intensiv gelernt hat.",She passed the exam by studying intensively.,
321,11,"Wir haben Zeit _____ gespart, dass wir online eingekauft haben.",dadurch,"Wir haben Zeit dadurch gespart, dass wir online eingekauft haben.",We saved time by shopping online.,
322,12,ehe,bevor,,before,
323,12,allerdings,dagegen,,"however, on the other hand",
324,12,demgegenüber,dagegen,,"however, on the other hand",
325,12,jedoch,dagegen,,"however, on the other hand",
326,12,daher,deshalb,,"therefore, for this reason, because of that",
327,12,demnach,folglich,,"consequently, as a result, thereupon",
328,12,demzufolge,folglich,,"consequently, as a result, thereupon",
329,12,infolgedessen,folglich,,"consequently, as a result, thereupon",
330,12,sooft,immer wenn,,"everytime, whenever",
331,12,andernfalls,sonst,,"otherwise, else",
332,12,wogegen,wohingegen,,whereas,
333,12,dafür,dazu,,for this purpose,
334,12,zu diesem Zweck,dazu,,for this purpose,
335,13,"especially since, particularly because",zumal,,,Subjunktion
336,13,"that is, that means, that is to say",das heißt,,,Zwei Begriffe & Konjunktion
337,13,as far as,soweit,,,Subjunktion
338,13,"provided, provided that",sofern,,,Subjunktion
339,13,"insofar, in that respect, to that extent",insofern,,,Subjunktion
340,13,as if,als ob,,,Subjunktion
341,13,depending on,je nachdem,,,Subjunktion
342,14,"Ich werde das Angebot annehmen, _____ es sehr vorteilhaft ist.",zumal,"Ich werde das Angebot annehmen, zumal es sehr vorteilhaft ist.","I will accept the offer, especially since it is very advantageous.",
343,14,"Wir bleiben heute zu Hause, _____ das Wetter schlecht ist.",zumal,"Wir bleiben heute zu Hause, zumal das Wetter schlecht ist.","We are staying home today, particularly because the weather is bad.",
344,14,"Er hat sich für das Studium entschieden, _____ er großes Interesse an der Thematik hat.",zumal,"Er hat sich für das Studium entschieden, zumal er großes Interesse an der Thematik hat.","He decided to study this subject, especially since he has a great interest in it.",
345,14,"Ich esse weniger Süßigkeiten, _____ sie nicht gesund sind.",zumal,"Ich esse weniger Süßigkeiten, zumal sie nicht gesund sind.","I eat fewer sweets, particularly because they are not healthy.",
346,14,"Wir sollten mit dem Fahrrad fahren, _____ es umweltfreundlicher ist.",zumal,"Wir sollten mit dem Fahrrad fahren, zumal es umweltfreundlicher ist.","We should go by bike, especially since it is more environmentally friendly.",
347,14,"Das Unternehmen strebt eine Diversifizierung seiner Investitionen an, _____, es investiert nicht nur in Immobilien, sondern auch in Technologie-Start-ups.",das heißt,"Das Unternehmen strebt eine Diversifizierung seiner Investitionen an, das heißt, es investiert nicht nur in Immobilien, sondern auch in Technologie-Start-ups.","The company is aiming to diversify its investments, that is, it is investing not only in real estate but also in tech start-ups.",
348,14,"Die neue Gesetzgebung wird bald in Kraft treten, _____, Unternehmen müssen sich an die neuen Regelungen anpassen, um Strafen zu vermeiden.",das heißt,"Die neue Gesetzgebung wird bald in Kraft treten, das heißt, Unternehmen müssen sich an die neuen Regelungen anpassen, um Strafen zu vermeiden.","The new legislation will soon come into effect, that is, companies must adapt to the new regulations to avoid penalties.",
349,14,"Er hat sich für ein duales Studium entschieden, _____, er wird gleichzeitig studieren und praktische Erfahrungen im Betrieb sammeln.",das heißt,"Er hat sich für ein duales Studium entschieden, das heißt, er wird gleichzeitig studieren und praktische Erfahrungen im Betrieb sammeln.","He has chosen a dual study program, that is, he will study and gain practical experience in the company simultaneously.",
350,14,"Das Budget wurde aufgestockt, _____, es stehen nun zusätzliche Mittel für innovative Projekte zur Verfügung.",das heißt,"Das Budget wurde aufgestockt, das heißt, es stehen nun zusätzliche Mittel für innovative Projekte zur Verfügung.","The budget has been increased, that is, additional funds are now available for innovative projects.",
351,14,"Das Konzept basiert auf einem hybriden Lernmodell, _____, die Studierenden lernen sowohl online als auch in Präsenzveranstaltungen.",das heißt,"Das Konzept basiert auf einem hybriden Lernmodell, das heißt, die Studierenden lernen sowohl online als auch in Präsenzveranstaltungen.","The concept is based on a hybrid learning model, that is, students learn both online and in face-to-face classes.",
352,14,"_____ du deine Aufgaben rechtzeitig erledigst, sehe ich kein Problem.",Insofern,"Insofern du deine Aufgaben rechtzeitig erledigst, sehe ich kein Problem.","As long as you complete your tasks on time, I see no issue.",
353,14,"_____ die Informationen korrekt sind, müssen wir unsere Strategie überdenken.",Insofern,"Insofern die Informationen korrekt sind, müssen wir unsere Strategie überdenken.","Insofar as the information is correct, we need to rethink our strategy.",
354,14,"_____ er zustimmt, können wir mit dem Projekt fortfahren.",Insofern,"Insofern er zustimmt, können wir mit dem Projekt fortfahren.","Provided that he agrees, we can proceed with the project.",
355,14,"_____ du interessiert bist, kann ich dir weitere Unterlagen zuschicken.",Insofern,"Insofern du interessiert bist, kann ich dir weitere Unterlagen zuschicken.","If you're interested, I can send you more documents.",
356,14,"_____ hat sie recht, als dass die Risiken tatsächlich unterschätzt wurden.",Insofern,"Insofern hat sie recht, als dass die Risiken tatsächlich unterschätzt wurden.",She is right insofar as the risks were indeed underestimated.,
357,14,"_____ ich informiert bin, wird das neue Gesetz erst im kommenden Jahr in Kraft treten.",Soweit,"Soweit ich informiert bin, wird das neue Gesetz erst im kommenden Jahr in Kraft treten.","As far as I am informed, the new law will only come into effect next year.",
358,14,"_____ ich das beurteilen kann, hat das Team hervorragende Arbeit geleistet, obwohl die Bedingungen alles andere als ideal waren.",Soweit,"Soweit ich das beurteilen kann, hat das Team hervorragende Arbeit geleistet, obwohl die Bedingungen alles andere als ideal waren.","As far as I can judge, the team did an excellent job despite the conditions being far from ideal.",
359,14,"_____ es mich betrifft, hätte das Projekt längst abgeschlossen sein müssen.",Soweit,"Soweit es mich betrifft, hätte das Projekt längst abgeschlossen sein müssen.","As far as I’m concerned, the project should have been completed a long time ago.",
360,14,"Die Maßnahmen waren erfolgreich, _____ man das anhand der vorliegenden Daten sagen kann.",soweit,"Die Maßnahmen waren erfolgreich, soweit man das anhand der vorliegenden Daten sagen kann.","The measures were successful, as far as one can say based on the available data.",
361,14,"_____ mir bekannt ist, hat die Firma keine Stellung zu den Vorwürfen genommen.",Soweit,"Soweit mir bekannt ist, hat die Firma keine Stellung zu den Vorwürfen genommen.","As far as I know, the company has not commented on the accusations.",
362,14,"Du kannst an der Konferenz teilnehmen, _____ du dich bis Freitag anmeldest.",sofern,"Du kannst an der Konferenz teilnehmen, sofern du dich bis Freitag anmeldest.","You can attend the conference, provided that you register by Friday.",
363,14,"_____ keine Einwände bestehen, beginnen wir mit der Umsetzung des Plans.",Sofern,"Sofern keine Einwände bestehen, beginnen wir mit der Umsetzung des Plans.","Unless there are objections, we will begin implementing the plan.",
364,14,"Die Garantie gilt nur, _____ das Gerät sachgemäß verwendet wurde.",sofern,"Die Garantie gilt nur, sofern das Gerät sachgemäß verwendet wurde.",The warranty is only valid if the device was used properly.,
365,14,"_____ es die Wetterbedingungen zulassen, wird das Event im Freien stattfinden.",Sofern,"Sofern es die Wetterbedingungen zulassen, wird das Event im Freien stattfinden.","Provided that the weather permits, the event will take place outdoors.",
366,14,"Der Vertrag tritt in Kraft, _____ beide Parteien unterzeichnen.",sofern,"Der Vertrag tritt in Kraft, sofern beide Parteien unterzeichnen.",The contract comes into effect provided that both parties sign.,
